trainId,number,type,corridorId,departure,avgDelayMinutes
TRN-0045,29251,Express,COR-006,21:30,16.6
TRN-0046,18347,Passenger,COR-009,04:30,7.6
TRN-0047,11815,Express,COR-007,08:45,7.5
TRN-0048,24100,Express,COR-006,09:45,1.6
TRN-0049,24062,Freight,COR-006,10:30,16.4
TRN-0050,28584,Passenger,COR-006,11:00,3.7
TRN-0051,23853,Passenger,COR-009,21:30,8.3
TRN-0052,17235,Express,COR-008,15:45,27.2
TRN-0053,23388,Passenger,COR-001,21:15,18.5
TRN-0054,25962,Passenger,COR-006,08:30,2.6
TRN-0055,20322,Freight,COR-003,12:45,6.9
TRN-0056,25892,Passenger,COR-002,02:15,9.1
TRN-0057,29335,Freight,COR-009,06:15,20.3
TRN-0058,25094,Express,COR-009,14:15,18.0
TRN-0059,20035,Passenger,COR-010,04:45,11.1
TRN-0060,19857,Freight,COR-004,23:15,10.3
TRN-0061,26765,Passenger,COR-005,06:15,6.8
TRN-0062,27456,Freight,COR-008,03:30,8.8
TRN-0063,15250,Freight,COR-002,18:30,5.4
TRN-0064,10195,Freight,COR-001,02:45,13.4
TRN-0065,26125,Express,COR-005,07:45,10.7
TRN-0066,14720,Express,COR-007,04:45,15.9
TRN-0067,29929,Passenger,COR-005,16:45,15.6
TRN-0068,10723,Freight,COR-003,20:15,3.7
TRN-0069,28200,Passenger,COR-006,04:15,0.3
TRN-0070,23561,Express,COR-010,09:30,3.4
TRN-0071,16081,Passenger,COR-003,11:30,8.8
TRN-0072,10695,Express,COR-005,16:30,5.4
TRN-0073,26922,Express,COR-004,08:00,5.2
TRN-0074,12387,Express,COR-003,12:00,3.2
TRN-0075,11905,Express,COR-007,12:00,9.9
TRN-0076,25799,Freight,COR-004,00:15,11.0
TRN-0077,23553,Express,COR-007,13:45,11.2
TRN-0078,12548,Express,COR-001,13:45,15.7
TRN-0079,16842,Passenger,COR-007,23:45,52.5
TRN-0080,23329,Express,COR-002,12:30,0.2
TRN-0081,23172,Passenger,COR-004,21:00,10.8
TRN-0082,17244,Express,COR-009,08:45,12.6
TRN-0083,18244,Express,COR-004,16:45,3.4
TRN-0084,11592,Passenger,COR-007,21:45,5.8
TRN-0085,10180,Express,COR-004,03:15,4.3
TRN-0086,29349,Express,COR-010,13:00,11.4
TRN-0087,14625,Express,COR-010,22:45,17.0
TRN-0088,28541,Express,COR-010,13:00,1.9
TRN-0089,10847,Express,COR-004,21:45,10.0
TRN-0090,29795,Express,COR-004,10:45,19.8
TRN-0091,18544,Express,COR-007,21:45,3.7
TRN-0092,26122,Express,COR-009,15:30,2.8
TRN-0093,26800,Freight,COR-006,11:45,2.4
TRN-0094,17038,Express,COR-008,05:45,3.0
TRN-0095,24759,Express,COR-009,04:45,26.8
TRN-0096,16682,Passenger,COR-008,06:15,31.5
TRN-0097,25777,Express,COR-004,18:30,21.8
TRN-0098,29178,Freight,COR-003,11:45,5.3
TRN-0099,26143,Express,COR-005,09:00,22.4
TRN-0100,24557,Passenger,COR-006,11:00,2.3
TRN-0101,17438,Freight,COR-009,08:15,13.6
TRN-0102,12173,Express,COR-004,19:15,4.0
TRN-0103,20120,Express,COR-002,09:45,1.9
TRN-0104,12594,Passenger,COR-004,11:45,9.7
TRN-0105,20168,Freight,COR-006,13:00,9.9
TRN-0106,27380,Passenger,COR-003,15:15,10.7
TRN-0107,12264,Passenger,COR-004,08:45,11.8
TRN-0108,28018,Express,COR-003,01:30,9.3
TRN-0109,21962,Passenger,COR-010,16:00,6.3
TRN-0110,10938,Express,COR-006,13:30,7.4
TRN-0111,24402,Passenger,COR-008,15:45,13.8
TRN-0112,10000,Express,COR-006,13:15,9.0
TRN-0113,22218,Passenger,COR-001,12:15,4.5
TRN-0114,20148,Express,COR-003,22:30,3.3
TRN-0115,24918,Passenger,COR-009,01:45,7.4
TRN-0116,17524,Freight,COR-006,02:30,19.7
TRN-0117,12377,Freight,COR-008,22:45,11.9
TRN-0118,17741,Freight,COR-008,21:45,20.6
TRN-0119,25227,Passenger,COR-006,09:15,5.2
TRN-0120,29072,Passenger,COR-006,12:15,8.4
