failureId,assetId,date,severity,downtimeMinutes,cause
FLR-00199,AST-0127,2023-09-18,5,136,Track Maintenance / PSR
FLR-00200,AST-0128,2024-08-31,4,143,Track Congestion
FLR-00201,AST-0129,2025-01-22,7,139,Freight Priority
FLR-00202,AST-0131,2023-10-07,4,93,Track Maintenance / PSR
FLR-00203,AST-0132,2025-09-17,3,134,Flooding / Waterlogging
FLR-00204,AST-0132,2026-06-05,7,102,Track Maintenance / PSR
FLR-00205,AST-0133,2025-06-30,5,145,Track Congestion
FLR-00206,AST-0134,2025-09-06,7,139,Track Congestion
FLR-00207,AST-0134,2024-12-13,5,124,Unscheduled Halt
FLR-00208,AST-0135,2024-10-25,3,144,Track Maintenance / PSR
FLR-00209,AST-0135,2023-12-13,6,107,Freight Priority
FLR-00210,AST-0136,2024-03-28,6,130,Track Congestion
FLR-00211,AST-0138,2024-04-24,10,145,Track Congestion
FLR-00212,AST-0138,2026-08-08,5,158,Flooding / Waterlogging
FLR-00213,AST-0139,2025-04-18,7,107,Loco / Engine Failure
FLR-00214,AST-0139,2024-10-08,7,180,Track Congestion
FLR-00215,AST-0139,2025-05-24,7,141,Track Maintenance / PSR
FLR-00216,AST-0140,2024-09-01,6,144,Late Incoming Rake
FLR-00217,AST-0140,2023-12-20,7,139,Track Congestion
FLR-00218,AST-0141,2024-12-25,5,122,Track Congestion
FLR-00219,AST-0142,2025-11-17,6,137,Flooding / Waterlogging
FLR-00220,AST-0142,2026-08-15,4,141,Track Maintenance / PSR
FLR-00221,AST-0143,2025-11-04,4,120,Track Congestion
FLR-00222,AST-0143,2025-05-10,7,95,Level Crossing Delay
FLR-00223,AST-0146,2023-12-07,7,156,Track Congestion
FLR-00224,AST-0147,2024-10-28,5,151,Level Crossing Delay
FLR-00225,AST-0148,2025-07-15,4,106,Track Congestion
FLR-00226,AST-0152,2024-11-10,8,120,Signal Failure
FLR-00227,AST-0152,2023-09-04,7,116,Flooding / Waterlogging
FLR-00228,AST-0152,2024-03-31,8,95,Loco / Engine Failure
FLR-00229,AST-0152,2026-08-19,6,161,Track Congestion
FLR-00230,AST-0155,2026-04-29,6,171,Late Incoming Rake
FLR-00231,AST-0155,2024-01-15,7,76,Track Congestion
FLR-00232,AST-0156,2024-08-07,7,122,Track Congestion
FLR-00233,AST-0157,2023-09-12,5,176,Track Congestion
FLR-00234,AST-0157,2025-03-31,4,137,Flooding / Waterlogging
FLR-00235,AST-0157,2025-08-07,7,108,Unscheduled Halt
FLR-00236,AST-0159,2024-11-19,9,156,Late Incoming Rake
FLR-00237,AST-0159,2025-04-03,7,107,Late Incoming Rake
FLR-00238,AST-0160,2025-08-10,8,120,Late Incoming Rake
FLR-00239,AST-0160,2024-09-17,8,119,Passenger Emergency
FLR-00240,AST-0160,2024-08-17,6,173,Track Congestion
FLR-00241,AST-0162,2026-01-12,5,154,Late Incoming Rake
FLR-00242,AST-0163,2025-08-09,6,120,Passenger Emergency
FLR-00243,AST-0164,2025-05-26,6,143,Track Congestion
FLR-00244,AST-0164,2026-02-10,7,99,Technical Inspection
FLR-00245,AST-0164,2023-10-31,6,159,Passenger Emergency
FLR-00246,AST-0165,2026-06-12,6,111,Station Congestion
FLR-00247,AST-0165,2025-03-02,2,116,Late Incoming Rake
FLR-00248,AST-0166,2024-08-29,7,196,Station Congestion
FLR-00249,AST-0166,2024-07-30,10,131,Track Maintenance / PSR
FLR-00250,AST-0166,2024-01-07,6,123,Flooding / Waterlogging
FLR-00251,AST-0166,2026-06-30,5,151,Track Congestion
FLR-00252,AST-0166,2024-08-08,8,89,Flooding / Waterlogging
FLR-00253,AST-0170,2024-05-11,6,124,Unscheduled Halt
FLR-00254,AST-0170,2025-04-15,5,102,Flooding / Waterlogging
FLR-00255,AST-0171,2023-11-01,5,175,Late Incoming Rake
FLR-00256,AST-0173,2024-10-10,7,150,Track Maintenance / PSR
FLR-00257,AST-0173,2026-01-03,5,130,Flooding / Waterlogging
FLR-00258,AST-0174,2026-04-20,5,142,Late Incoming Rake
FLR-00259,AST-0176,2026-04-24,5,83,Loco / Engine Failure
FLR-00260,AST-0176,2026-08-19,5,115,Fog / Low Visibility
FLR-00261,AST-0176,2026-08-24,3,135,Track Congestion
FLR-00262,AST-0178,2026-08-05,3,95,Technical Inspection
FLR-00263,AST-0178,2026-03-27,5,88,Flooding / Waterlogging
FLR-00264,AST-0179,2025-06-18,5,112,Technical Inspection
FLR-00265,AST-0179,2024-11-15,6,103,Track Maintenance / PSR
FLR-00266,AST-0179,2024-08-09,7,140,Track Congestion
FLR-00267,AST-0179,2024-05-03,4,134,Signal Failure
FLR-00268,AST-0179,2025-07-11,8,118,Flooding / Waterlogging
FLR-00269,AST-0180,2025-06-05,8,137,Station Congestion
FLR-00270,AST-0180,2023-09-18,5,124,Track Congestion
FLR-00271,AST-0180,2025-06-03,4,132,Track Congestion
FLR-00272,AST-0181,2024-07-18,4,163,Late Incoming Rake
FLR-00273,AST-0181,2026-08-31,6,144,Flooding / Waterlogging
FLR-00274,AST-0181,2026-07-06,5,133,Station Congestion
FLR-00275,AST-0183,2025-09-09,4,130,Unscheduled Halt
FLR-00276,AST-0183,2023-09-29,7,154,Track Congestion
FLR-00277,AST-0184,2026-07-20,9,160,Late Incoming Rake
FLR-00278,AST-0184,2024-08-02,3,120,Track Congestion
FLR-00279,AST-0185,2023-11-13,1,134,Late Incoming Rake
FLR-00280,AST-0186,2024-12-28,5,72,Passenger Emergency
FLR-00281,AST-0186,2023-10-13,9,128,Track Maintenance / PSR
FLR-00282,AST-0186,2024-04-18,4,141,Crew Availability
FLR-00283,AST-0186,2026-08-07,6,134,Flooding / Waterlogging
FLR-00284,AST-0188,2025-10-09,5,160,Flooding / Waterlogging
FLR-00285,AST-0189,2024-12-02,7,140,Late Incoming Rake
FLR-00286,AST-0191,2024-09-06,6,146,Flooding / Waterlogging
FLR-00287,AST-0192,2025-04-13,7,150,Flooding / Waterlogging
FLR-00288,AST-0192,2026-01-01,5,85,Signal Failure
FLR-00289,AST-0193,2024-03-07,10,144,Flooding / Waterlogging
FLR-00290,AST-0195,2025-07-29,5,100,Track Maintenance / PSR
FLR-00291,AST-0197,2026-03-20,6,141,Station Congestion
FLR-00292,AST-0199,2024-11-26,5,156,Passenger Emergency
FLR-00293,AST-0200,2024-03-23,4,115,Flooding / Waterlogging
FLR-00294,AST-0201,2026-07-14,7,70,Track Congestion
FLR-00295,AST-0201,2023-12-12,5,155,Late Incoming Rake
FLR-00296,AST-0201,2024-06-05,6,135,Flooding / Waterlogging
FLR-00297,AST-0202,2025-11-28,10,123,Track Congestion
FLR-00298,AST-0202,2025-09-30,7,193,Late Incoming Rake
FLR-00299,AST-0202,2024-08-14,10,137,Track Congestion
FLR-00300,AST-0202,2026-01-25,7,143,Late Incoming Rake
FLR-00301,AST-0203,2025-10-15,6,120,Station Congestion
FLR-00302,AST-0203,2024-04-06,5,181,Track Maintenance / PSR
FLR-00303,AST-0203,2025-06-08,6,107,Freight Priority
FLR-00304,AST-0203,2023-10-09,4,102,Unscheduled Halt
FLR-00305,AST-0204,2026-02-01,8,141,Signal Failure
FLR-00306,AST-0207,2024-04-02,5,128,Flooding / Waterlogging
FLR-00307,AST-0207,2025-01-04,3,124,Fog / Low Visibility
FLR-00308,AST-0208,2025-05-17,6,123,Fog / Low Visibility
FLR-00309,AST-0210,2025-11-29,5,130,Loco / Engine Failure
FLR-00310,AST-0211,2025-11-27,1,96,Station Congestion
FLR-00311,AST-0211,2025-11-21,6,133,Freight Priority
FLR-00312,AST-0212,2026-08-30,6,124,Late Incoming Rake
FLR-00313,AST-0213,2025-11-04,6,126,Late Incoming Rake
FLR-00314,AST-0213,2025-09-23,6,166,Flooding / Waterlogging
FLR-00315,AST-0213,2026-01-30,5,135,Track Maintenance / PSR
FLR-00316,AST-0214,2024-06-04,4,124,Track Congestion
FLR-00317,AST-0215,2025-04-12,8,88,Track Congestion
FLR-00318,AST-0216,2026-07-25,6,102,Signal Failure
FLR-00319,AST-0217,2024-09-23,7,156,Flooding / Waterlogging
FLR-00320,AST-0219,2025-11-15,5,129,Track Maintenance / PSR
FLR-00321,AST-0222,2024-07-21,5,112,Track Congestion
FLR-00322,AST-0222,2025-08-06,8,117,Track Maintenance / PSR
FLR-00323,AST-0223,2025-08-05,7,132,Track Maintenance / PSR
FLR-00324,AST-0224,2024-08-01,6,157,Freight Priority
FLR-00325,AST-0224,2025-06-10,8,133,Freight Priority
FLR-00326,AST-0225,2024-08-25,4,156,Unscheduled Halt
FLR-00327,AST-0227,2025-06-28,7,120,Track Congestion
FLR-00328,AST-0228,2024-04-14,7,156,Track Maintenance / PSR
FLR-00329,AST-0229,2026-02-28,5,139,Track Maintenance / PSR
FLR-00330,AST-0230,2024-06-17,6,141,Flooding / Waterlogging
FLR-00331,AST-0231,2023-11-16,10,134,Track Maintenance / PSR
FLR-00332,AST-0231,2025-06-01,8,118,Level Crossing Delay
FLR-00333,AST-0231,2026-05-11,7,129,Track Maintenance / PSR
FLR-00334,AST-0231,2026-03-30,6,208,Late Incoming Rake
FLR-00335,AST-0232,2024-03-25,7,139,Late Incoming Rake
FLR-00336,AST-0232,2024-08-17,10,112,Crew Availability
FLR-00337,AST-0233,2023-12-23,8,105,Track Congestion
FLR-00338,AST-0233,2024-02-19,7,95,Crew Availability
FLR-00339,AST-0233,2024-09-03,5,149,Track Congestion
FLR-00340,AST-0233,2026-04-25,4,100,Track Congestion
FLR-00341,AST-0233,2025-08-27,5,128,Loco / Engine Failure
FLR-00342,AST-0236,2025-06-17,7,109,Track Maintenance / PSR
FLR-00343,AST-0236,2024-02-26,8,135,Track Maintenance / PSR
FLR-00344,AST-0236,2024-11-30,8,107,Station Congestion
FLR-00345,AST-0237,2025-12-13,8,125,Flooding / Waterlogging
FLR-00346,AST-0238,2024-08-07,8,144,Late Incoming Rake
FLR-00347,AST-0238,2025-07-30,8,98,Freight Priority
FLR-00348,AST-0238,2023-11-08,9,127,Crew Availability
FLR-00349,AST-0238,2026-06-03,9,133,Crew Availability
FLR-00350,AST-0238,2024-05-05,6,124,Station Congestion
FLR-00351,AST-0238,2026-01-16,8,135,Track Maintenance / PSR
FLR-00352,AST-0239,2025-06-27,6,130,Station Congestion
FLR-00353,AST-0239,2025-10-04,7,134,Flooding / Waterlogging
FLR-00354,AST-0239,2025-05-08,6,120,Track Congestion
FLR-00355,AST-0239,2023-11-09,7,124,Track Congestion
FLR-00356,AST-0240,2025-07-24,7,135,Fog / Low Visibility
FLR-00357,AST-0241,2025-04-29,4,150,Track Maintenance / PSR
FLR-00358,AST-0241,2024-05-08,6,104,Unscheduled Halt
FLR-00359,AST-0241,2026-04-18,5,111,Late Incoming Rake
FLR-00360,AST-0244,2026-08-20,5,116,Track Congestion
FLR-00361,AST-0245,2024-02-05,4,71,Track Congestion
FLR-00362,AST-0246,2024-05-21,5,105,Crew Availability
FLR-00363,AST-0247,2025-11-22,10,118,Loco / Engine Failure
FLR-00364,AST-0249,2025-12-16,6,114,Station Congestion
FLR-00365,AST-0250,2025-06-25,3,142,Level Crossing Delay
FLR-00366,AST-0251,2023-11-25,7,120,Signal Failure
FLR-00367,AST-0251,2023-12-19,7,149,Late Incoming Rake
FLR-00368,AST-0251,2025-05-12,7,137,Flooding / Waterlogging
FLR-00369,AST-0253,2024-05-13,6,143,Track Maintenance / PSR
FLR-00370,AST-0254,2024-11-15,6,139,Late Incoming Rake
FLR-00371,AST-0255,2025-02-18,4,131,Flooding / Waterlogging
FLR-00372,AST-0255,2024-12-18,8,137,Flooding / Waterlogging
FLR-00373,AST-0255,2025-01-05,5,151,Track Maintenance / PSR
FLR-00374,AST-0258,2025-12-21,3,149,Late Incoming Rake
FLR-00375,AST-0260,2024-11-23,6,133,Flooding / Waterlogging
FLR-00376,AST-0260,2026-01-01,5,202,Flooding / Waterlogging
FLR-00377,AST-0261,2026-07-27,7,128,Level Crossing Delay
FLR-00378,AST-0261,2024-06-30,8,123,Track Congestion
FLR-00379,AST-0261,2024-10-18,3,137,Track Congestion
FLR-00380,AST-0261,2024-07-26,4,146,Flooding / Waterlogging
FLR-00381,AST-0262,2024-11-22,7,162,Fog / Low Visibility
FLR-00382,AST-0262,2025-12-22,9,98,Track Congestion
FLR-00383,AST-0262,2025-12-17,6,112,Flooding / Waterlogging
FLR-00384,AST-0263,2026-01-23,7,142,Track Congestion
FLR-00385,AST-0263,2025-11-13,6,139,Loco / Engine Failure
FLR-00386,AST-0264,2023-12-05,5,138,Track Congestion
FLR-00387,AST-0264,2023-12-29,3,122,Track Maintenance / PSR
FLR-00388,AST-0265,2026-08-03,5,157,Track Congestion
FLR-00389,AST-0265,2023-11-04,6,128,Flooding / Waterlogging
FLR-00390,AST-0267,2025-01-23,6,112,Flooding / Waterlogging
FLR-00391,AST-0267,2024-05-16,7,144,Flooding / Waterlogging
FLR-00392,AST-0267,2025-05-31,4,151,Track Maintenance / PSR
FLR-00393,AST-0269,2023-11-09,6,197,Late Incoming Rake
FLR-00394,AST-0270,2024-09-08,9,125,Late Incoming Rake
FLR-00395,AST-0273,2025-07-23,7,159,Late Incoming Rake
FLR-00396,AST-0274,2024-06-20,7,151,Station Congestion
FLR-00397,AST-0274,2025-12-03,4,119,Track Congestion
FLR-00398,AST-0275,2023-11-10,7,132,Flooding / Waterlogging
FLR-00399,AST-0278,2026-08-31,8,74,Track Maintenance / PSR
FLR-00400,AST-0279,2025-09-13,6,124,Flooding / Waterlogging
FLR-00401,AST-0279,2026-07-30,3,85,Level Crossing Delay
FLR-00402,AST-0280,2026-08-01,5,169,Track Congestion
FLR-00403,AST-0282,2025-01-15,4,139,Late Incoming Rake
FLR-00404,AST-0282,2023-10-18,6,151,Track Maintenance / PSR
FLR-00405,AST-0283,2026-06-07,8,150,Flooding / Waterlogging
FLR-00406,AST-0284,2025-01-06,6,138,Late Incoming Rake
FLR-00407,AST-0284,2024-03-05,7,144,Track Congestion
FLR-00408,AST-0285,2024-09-30,4,136,Track Maintenance / PSR
FLR-00409,AST-0285,2024-04-14,6,174,Track Congestion
FLR-00410,AST-0285,2025-05-21,10,171,Late Incoming Rake
FLR-00411,AST-0286,2025-07-21,5,117,Track Congestion
FLR-00412,AST-0288,2026-01-03,6,112,Crew Availability
FLR-00413,AST-0288,2024-07-03,6,103,Late Incoming Rake
FLR-00414,AST-0290,2024-12-22,7,159,Late Incoming Rake
FLR-00415,AST-0290,2025-05-20,8,130,Late Incoming Rake
