assetId,name,type,department,corridorId,ageYears,installDate,condition,criticality,degradationLatent,latitude,longitude,historicalFailures
AST-0021,Signal Section 21,Signal,S&T,COR-005,19.4,2007-04-15,Warning,10,0.671,22.4036,85.7798,3
AST-0022,Signal Section 22,Signal,S&T,COR-002,2.4,2024-04-09,Good,10,0.252,25.8975,75.767,2
AST-0023,Track Section 23,Track,Engineering,COR-008,16.9,2009-10-13,Warning,8,0.566,20.7585,87.6032,1
AST-0024,Track Section 24,Track,Engineering,COR-001,4.1,2022-07-29,Good,8,0.101,21.2093,74.9887,0
AST-0025,Signal Section 25,Signal,S&T,COR-008,12.4,2014-04-12,Good,9,0.049,21.0067,74.5666,0
AST-0026,Signal Section 26,Signal,S&T,COR-001,31.5,1995-03-12,Fair,9,0.356,19.0093,85.49,4
AST-0027,Track Section 27,Track,Engineering,COR-003,16.0,2010-09-06,Fair,9,0.487,23.7377,85.5992,3
AST-0028,Bridge Section 28,Bridge,Engineering,COR-007,8.7,2017-12-23,Good,9,0.206,19.3896,84.3202,0
AST-0029,Bridge Section 29,Bridge,Engineering,COR-010,13.8,2012-11-17,Good,9,0.16,21.7294,87.8685,0
AST-0030,Track Section 30,Track,Engineering,COR-005,6.8,2019-11-16,Warning,8,0.591,28.948,76.8286,3
AST-0031,Signal Section 31,Signal,S&T,COR-002,39.2,1987-07-01,Critical,8,0.769,28.184,85.7264,3
AST-0032,Track Section 32,Track,Engineering,COR-003,5.7,2020-12-22,Good,7,0.177,21.1508,78.1326,0
AST-0033,OHE Section 33,OHE,Traction Distribution,COR-009,9.5,2017-03-06,Good,7,0.173,22.1,81.0984,1
AST-0034,Track Section 34,Track,Engineering,COR-008,15.1,2011-08-01,Fair,10,0.399,23.637,79.6296,0
AST-0035,OHE Section 35,OHE,Traction Distribution,COR-002,13.2,2013-06-24,Good,6,0.287,27.4441,72.5936,0
AST-0036,OHE Section 36,OHE,Traction Distribution,COR-004,14.2,2012-06-24,Fair,6,0.531,27.0265,81.6914,2
AST-0037,OHE Section 37,OHE,Traction Distribution,COR-003,6.9,2019-10-11,Good,7,0.242,20.2624,84.4601,0
AST-0038,Track Section 38,Track,Engineering,COR-002,8.5,2018-03-06,Good,7,0.282,20.2445,75.2928,2
AST-0039,Station Equipment Section 39,Station Equipment,S&T,COR-009,18.8,2007-11-19,Fair,5,0.477,23.1673,87.4065,1
AST-0040,Track Section 40,Track,Engineering,COR-007,18.2,2008-06-25,Good,8,0.245,27.701,80.9864,1
AST-0041,Track Section 41,Track,Engineering,COR-002,13.4,2013-04-12,Fair,7,0.353,27.8208,75.3519,1
AST-0042,Signal Section 42,Signal,S&T,COR-007,23.8,2002-11-20,Fair,9,0.427,20.0737,82.8352,2
AST-0043,Signal Section 43,Signal,S&T,COR-005,19.3,2007-05-21,Good,10,0.263,24.743,75.5708,1
AST-0044,Bridge Section 44,Bridge,Engineering,COR-001,17.8,2008-11-18,Good,10,0.124,20.5568,73.5165,1
AST-0045,Bridge Section 45,Bridge,Engineering,COR-005,2.3,2024-05-16,Good,10,0.209,25.8613,83.465,2
AST-0046,Track Section 46,Track,Engineering,COR-002,13.3,2013-05-19,Good,7,0.325,28.1643,74.2711,1
AST-0047,Station Equipment Section 47,Station Equipment,S&T,COR-003,11.7,2014-12-24,Good,4,0.271,23.5477,74.1995,3
AST-0048,Track Section 48,Track,Engineering,COR-009,25.8,2000-11-20,Fair,8,0.455,19.8308,84.3391,1
AST-0049,Signal Section 49,Signal,S&T,COR-008,9.1,2017-07-30,Warning,8,0.566,24.7925,73.3832,0
AST-0050,Track Section 50,Track,Engineering,COR-002,11.0,2015-09-05,Good,7,0.077,23.0852,85.4563,1
AST-0051,Station Equipment Section 51,Station Equipment,S&T,COR-009,4.1,2022-07-29,Good,5,0.131,27.109,85.2384,0
AST-0052,Track Section 52,Track,Engineering,COR-006,4.8,2021-11-15,Good,9,0.322,22.4034,74.7623,1
AST-0053,Track Section 53,Track,Engineering,COR-009,25.9,2000-10-15,Good,8,0.346,27.749,80.7941,0
AST-0054,Signal Section 54,Signal,S&T,COR-008,14.1,2012-07-31,Fair,9,0.404,21.737,74.046,1
AST-0055,Station Equipment Section 55,Station Equipment,S&T,COR-004,31.6,1995-02-03,Fair,6,0.387,20.5752,82.6211,2
AST-0056,Bridge Section 56,Bridge,Engineering,COR-006,9.0,2017-09-04,Fair,10,0.512,22.0648,73.5069,1
AST-0057,OHE Section 57,OHE,Traction Distribution,COR-006,2.9,2023-10-10,Good,8,0.177,19.3492,87.6117,1
AST-0058,Bridge Section 58,Bridge,Engineering,COR-008,8.0,2018-09-04,Warning,10,0.561,21.8125,75.8237,5
AST-0059,Bridge Section 59,Bridge,Engineering,COR-003,7.0,2019-09-04,Good,10,0.188,25.6012,83.4263,1
AST-0060,Signal Section 60,Signal,S&T,COR-004,16.4,2010-04-14,Fair,9,0.493,20.4228,74.5527,5
AST-0061,Track Section 61,Track,Engineering,COR-003,16.0,2010-09-06,Good,7,0.31,20.1136,75.8535,1
AST-0062,OHE Section 62,OHE,Traction Distribution,COR-003,14.6,2012-01-30,Good,7,0.293,20.3239,79.7152,1
AST-0063,OHE Section 63,OHE,Traction Distribution,COR-002,37.8,1988-11-24,Fair,7,0.528,19.7755,81.6695,6
AST-0064,Signal Section 64,Signal,S&T,COR-001,23.0,2003-09-08,Fair,10,0.466,27.7464,88.4818,1
AST-0065,Track Section 65,Track,Engineering,COR-010,5.1,2021-07-29,Good,7,0.168,28.4412,72.9148,1
AST-0066,OHE Section 66,OHE,Traction Distribution,COR-001,19.7,2006-12-26,Good,6,0.312,19.4656,72.505,3
AST-0067,Track Section 67,Track,Engineering,COR-009,10.5,2016-03-06,Good,8,0.207,26.6007,78.1059,1
AST-0068,Station Equipment Section 68,Station Equipment,S&T,COR-001,8.8,2017-11-16,Good,5,0.183,26.3715,78.3585,2
AST-0069,Track Section 69,Track,Engineering,COR-008,24.8,2001-11-20,Critical,7,0.824,28.9691,86.6414,3
AST-0070,Track Section 70,Track,Engineering,COR-004,4.8,2021-11-15,Good,8,0.199,22.4787,87.1013,0
AST-0071,Bridge Section 71,Bridge,Engineering,COR-006,18.9,2007-10-14,Warning,9,0.664,21.8551,86.5884,2
AST-0072,Track Section 72,Track,Engineering,COR-003,16.9,2009-10-13,Good,7,0.305,23.5308,74.7909,2
AST-0073,Track Section 73,Track,Engineering,COR-005,4.7,2021-12-22,Fair,10,0.396,27.5658,79.0937,0
AST-0074,Signal Section 74,Signal,S&T,COR-005,2.2,2024-06-21,Good,10,0.172,26.2859,84.4342,3
AST-0075,Bridge Section 75,Bridge,Engineering,COR-006,9.7,2016-12-23,Good,10,0.299,23.7162,77.5018,2
AST-0076,Track Section 76,Track,Engineering,COR-004,21.2,2005-06-26,Fair,8,0.461,21.4456,83.1118,2
AST-0077,Track Section 77,Track,Engineering,COR-006,13.2,2013-06-24,Warning,8,0.591,26.2702,76.2943,1
AST-0078,OHE Section 78,OHE,Traction Distribution,COR-009,25.3,2001-05-22,Fair,8,0.453,27.5453,77.6747,0
AST-0079,Station Equipment Section 79,Station Equipment,S&T,COR-005,12.6,2014-01-29,Warning,6,0.639,22.9995,86.2669,2
AST-0080,Signal Section 80,Signal,S&T,COR-004,26.4,2000-04-15,Warning,9,0.584,25.6859,76.5081,3
AST-0081,Track Section 81,Track,Engineering,COR-002,6.4,2020-04-10,Fair,8,0.361,23.0021,87.9292,3
AST-0082,Track Section 82,Track,Engineering,COR-004,14.6,2012-01-30,Good,8,0.338,23.7849,77.4002,2
AST-0083,Track Section 83,Track,Engineering,COR-002,7.6,2019-01-28,Fair,8,0.469,24.2491,72.8764,3
AST-0084,Track Section 84,Track,Engineering,COR-002,9.4,2017-04-11,Good,7,0.149,26.7573,76.5784,0
AST-0085,OHE Section 85,OHE,Traction Distribution,COR-010,11.0,2015-09-05,Good,6,0.119,28.7751,75.2393,0
AST-0086,Track Section 86,Track,Engineering,COR-001,13.2,2013-06-24,Good,7,0.171,23.4437,80.6092,1
AST-0087,Signal Section 87,Signal,S&T,COR-005,5.7,2020-12-22,Warning,9,0.658,22.4232,74.3035,5
AST-0088,OHE Section 88,OHE,Traction Distribution,COR-009,14.1,2012-07-31,Fair,7,0.37,22.7359,82.5168,1
AST-0089,Signal Section 89,Signal,S&T,COR-010,10.6,2016-01-29,Good,8,0.166,20.3389,86.4984,1
AST-0090,Track Section 90,Track,Engineering,COR-002,3.1,2023-07-29,Good,7,0.271,21.9694,78.3003,2
AST-0091,Bridge Section 91,Bridge,Engineering,COR-002,1.9,2024-10-09,Good,9,0.187,19.8645,75.1959,4
AST-0092,OHE Section 92,OHE,Traction Distribution,COR-004,21.3,2005-05-21,Warning,7,0.673,23.2789,78.9004,7
AST-0093,OHE Section 93,OHE,Traction Distribution,COR-006,9.1,2017-07-30,Good,8,0.158,20.6736,85.0755,0
AST-0094,Track Section 94,Track,Engineering,COR-010,2.7,2023-12-22,Good,8,0.065,22.4641,81.9638,0
AST-0095,Track Section 95,Track,Engineering,COR-003,29.2,1997-06-28,Fair,6,0.442,26.9358,74.1183,1
AST-0096,Station Equipment Section 96,Station Equipment,S&T,COR-002,15.1,2011-08-01,Good,4,0.049,21.4593,81.095,1
AST-0097,Signal Section 97,Signal,S&T,COR-003,13.0,2013-09-05,Fair,9,0.402,25.1189,79.9894,2
AST-0098,Track Section 98,Track,Engineering,COR-009,5.3,2021-05-17,Good,7,0.118,28.0118,77.7338,0
AST-0099,Signal Section 99,Signal,S&T,COR-001,3.0,2023-09-03,Good,9,0.265,24.6693,74.2626,1
AST-0100,OHE Section 100,OHE,Traction Distribution,COR-004,11.7,2014-12-24,Warning,7,0.588,20.9379,88.1978,0
AST-0101,Station Equipment Section 101,Station Equipment,S&T,COR-002,10.1,2016-07-30,Good,4,0.174,22.4477,75.3167,0
AST-0102,Track Section 102,Track,Engineering,COR-002,4.1,2022-07-29,Good,7,0.084,24.9037,75.5839,0
AST-0103,Station Equipment Section 103,Station Equipment,S&T,COR-010,4.0,2022-09-03,Good,4,0.129,24.0661,74.8293,0
AST-0104,Track Section 104,Track,Engineering,COR-001,3.8,2022-11-15,Good,9,0.306,20.4862,81.6231,3
AST-0105,Signal Section 105,Signal,S&T,COR-004,3.7,2022-12-22,Good,9,0.127,23.468,79.5987,2
AST-0106,OHE Section 106,OHE,Traction Distribution,COR-010,6.3,2020-05-17,Good,6,0.071,24.4307,76.4929,0
AST-0107,Track Section 107,Track,Engineering,COR-007,13.0,2013-09-05,Fair,8,0.441,21.6733,79.3708,3
AST-0108,Track Section 108,Track,Engineering,COR-001,14.5,2012-03-07,Fair,9,0.38,25.1245,83.2763,2
AST-0109,Signal Section 109,Signal,S&T,COR-005,9.9,2016-10-11,Good,10,0.191,19.7016,77.0072,0
AST-0110,Station Equipment Section 110,Station Equipment,S&T,COR-010,11.3,2015-05-19,Good,5,0.068,22.3661,87.1439,0
AST-0111,Signal Section 111,Signal,S&T,COR-005,15.0,2011-09-06,Warning,10,0.686,27.0428,77.4015,3
AST-0112,Station Equipment Section 112,Station Equipment,S&T,COR-006,1.4,2025-04-10,Good,5,0.286,21.5928,75.6709,1
AST-0113,Bridge Section 113,Bridge,Engineering,COR-006,11.9,2014-10-12,Good,10,0.291,25.0518,87.7731,1
AST-0114,Signal Section 114,Signal,S&T,COR-007,23.6,2003-02-01,Fair,9,0.439,23.1003,85.469,4
AST-0115,OHE Section 115,OHE,Traction Distribution,COR-002,8.9,2017-10-11,Good,6,0.202,22.1646,77.9902,2
AST-0116,Track Section 116,Track,Engineering,COR-009,20.7,2005-12-26,Fair,8,0.451,28.1613,85.9629,2
AST-0117,Track Section 117,Track,Engineering,COR-010,9.0,2017-09-04,Good,8,0.021,22.4326,80.801,0
AST-0118,Bridge Section 118,Bridge,Engineering,COR-002,15.6,2011-01-30,Good,10,0.192,21.3668,78.048,0
AST-0119,OHE Section 119,OHE,Traction Distribution,COR-009,12.8,2013-11-17,Good,6,0.287,28.093,85.9338,1
AST-0120,Track Section 120,Track,Engineering,COR-009,3.8,2022-11-15,Good,7,0.118,26.4594,84.5346,0
AST-0121,Signal Section 121,Signal,S&T,COR-008,4.6,2022-01-28,Good,10,0.339,25.818,77.266,1
AST-0122,OHE Section 122,OHE,Traction Distribution,COR-004,26.4,2000-04-15,Fair,7,0.359,19.4953,82.2069,3
AST-0123,Bridge Section 123,Bridge,Engineering,COR-005,18.0,2008-09-06,Warning,10,0.59,20.312,78.4102,4
AST-0124,OHE Section 124,OHE,Traction Distribution,COR-009,9.5,2017-03-06,Good,7,0.34,25.3834,72.5168,1
AST-0125,Signal Section 125,Signal,S&T,COR-002,8.6,2018-01-28,Good,9,0.255,21.0943,87.8891,1
AST-0126,Signal Section 126,Signal,S&T,COR-009,5.3,2021-05-17,Good,9,0.168,21.2564,81.2941,0
AST-0127,Signal Section 127,Signal,S&T,COR-010,13.5,2013-03-07,Good,8,0.234,26.7914,82.0749,2
AST-0128,OHE Section 128,OHE,Traction Distribution,COR-007,5.7,2020-12-22,Good,7,0.113,21.8592,82.0983,1
AST-0129,Bridge Section 129,Bridge,Engineering,COR-004,7.8,2018-11-16,Good,10,0.243,19.7159,81.3103,1
AST-0130,Signal Section 130,Signal,S&T,COR-006,6.2,2020-06-22,Fair,9,0.455,19.3643,77.1408,0
AST-0131,Track Section 131,Track,Engineering,COR-001,17.2,2009-06-25,Fair,8,0.357,23.4318,88.0452,1
AST-0132,Track Section 132,Track,Engineering,COR-010,9.2,2017-06-24,Good,8,0.08,25.1713,82.4467,2
AST-0133,OHE Section 133,OHE,Traction Distribution,COR-004,11.4,2015-04-12,Good,8,0.242,27.6889,83.2347,1
AST-0134,Bridge Section 134,Bridge,Engineering,COR-001,3.8,2022-11-15,Good,10,0.211,20.108,79.7767,2
AST-0135,Track Section 135,Track,Engineering,COR-008,6.2,2020-06-22,Good,7,0.247,20.9667,77.1058,2
AST-0136,Track Section 136,Track,Engineering,COR-007,11.5,2015-03-07,Fair,8,0.351,24.298,73.5296,1
AST-0137,Signal Section 137,Signal,S&T,COR-007,2.4,2024-04-09,Good,10,0.231,22.6411,78.1037,0
AST-0138,Track Section 138,Track,Engineering,COR-001,8.7,2017-12-23,Fair,8,0.361,23.8254,75.3176,2
AST-0139,Bridge Section 139,Bridge,Engineering,COR-008,10.2,2016-06-24,Fair,10,0.518,28.2412,83.0934,3
AST-0140,Track Section 140,Track,Engineering,COR-007,3.4,2023-04-10,Good,8,0.301,24.4489,86.5641,2
AST-0141,Track Section 141,Track,Engineering,COR-008,20.1,2006-08-02,Fair,8,0.371,23.1512,77.3441,1
AST-0142,Station Equipment Section 142,Station Equipment,S&T,COR-009,13.1,2013-07-31,Good,4,0.15,28.8944,77.8261,2
AST-0143,Track Section 143,Track,Engineering,COR-003,9.2,2017-06-24,Good,7,0.213,19.6522,83.2258,2
AST-0144,Track Section 144,Track,Engineering,COR-003,5.8,2020-11-15,Good,8,0.122,28.3211,74.8883,0
AST-0145,Track Section 145,Track,Engineering,COR-010,2.3,2024-05-16,Good,6,0.0,24.0166,87.371,0
AST-0146,Track Section 146,Track,Engineering,COR-006,19.1,2007-08-02,Fair,8,0.429,24.0376,78.3215,1
AST-0147,Track Section 147,Track,Engineering,COR-005,7.2,2019-06-23,Good,9,0.342,28.2196,74.1192,1
AST-0148,Track Section 148,Track,Engineering,COR-003,2.9,2023-10-10,Good,7,0.055,24.0732,75.2949,1
AST-0149,Track Section 149,Track,Engineering,COR-007,5.7,2020-12-22,Good,8,0.175,23.3841,87.4239,0
AST-0150,Track Section 150,Track,Engineering,COR-008,14.1,2012-07-31,Fair,8,0.542,21.7249,76.4539,0
AST-0151,Signal Section 151,Signal,S&T,COR-001,12.2,2014-06-24,Good,9,0.327,25.5882,83.0963,0
AST-0152,OHE Section 152,OHE,Traction Distribution,COR-006,4.2,2022-06-22,Warning,7,0.573,24.6965,74.9986,4
AST-0153,Signal Section 153,Signal,S&T,COR-010,21.3,2005-05-21,Fair,9,0.373,21.1435,75.6056,0
AST-0154,Track Section 154,Track,Engineering,COR-003,2.9,2023-10-10,Good,7,0.101,26.0941,86.5678,0
AST-0155,Signal Section 155,Signal,S&T,COR-003,24.2,2002-06-27,Fair,8,0.429,25.4409,74.8685,2
AST-0156,Bridge Section 156,Bridge,Engineering,COR-009,11.8,2014-11-17,Good,10,0.271,22.9733,72.8,1
AST-0157,Bridge Section 157,Bridge,Engineering,COR-001,7.6,2019-01-28,Good,10,0.292,19.044,80.5197,3
AST-0158,Track Section 158,Track,Engineering,COR-004,8.5,2018-03-06,Fair,8,0.51,23.4658,86.3036,0
AST-0159,Track Section 159,Track,Engineering,COR-005,10.9,2015-10-12,Good,9,0.348,19.0606,77.7159,2
AST-0160,Track Section 160,Track,Engineering,COR-008,14.8,2011-11-18,Fair,8,0.514,19.75,74.5506,3
AST-0161,Track Section 161,Track,Engineering,COR-002,1.9,2024-10-09,Good,7,0.129,23.3061,88.2157,0
AST-0162,Signal Section 162,Signal,S&T,COR-005,5.5,2021-03-05,Good,10,0.187,19.8192,83.3278,1
AST-0163,Signal Section 163,Signal,S&T,COR-002,10.6,2016-01-29,Good,8,0.316,21.7567,86.1111,1
AST-0164,Track Section 164,Track,Engineering,COR-008,21.9,2004-10-14,Warning,8,0.66,25.5549,84.5342,3
AST-0165,Signal Section 165,Signal,S&T,COR-007,21.3,2005-05-21,Good,9,0.325,22.0862,83.6719,2
AST-0166,Signal Section 166,Signal,S&T,COR-005,27.5,1999-03-11,Warning,9,0.677,28.9765,78.653,5
AST-0167,Track Section 167,Track,Engineering,COR-004,20.7,2005-12-26,Good,8,0.222,28.163,77.6894,0
AST-0168,Bridge Section 168,Bridge,Engineering,COR-002,5.2,2021-06-22,Good,9,0.0,24.8531,83.9713,0
AST-0169,Track Section 169,Track,Engineering,COR-010,10.1,2016-07-30,Good,8,0.325,28.6695,83.9674,0
AST-0170,Station Equipment Section 170,Station Equipment,S&T,COR-007,20.8,2005-11-19,Fair,5,0.365,27.6802,87.7094,2
AST-0171,Track Section 171,Track,Engineering,COR-004,19.5,2007-03-09,Good,9,0.279,22.189,81.5986,1
AST-0172,Bridge Section 172,Bridge,Engineering,COR-005,8.8,2017-11-16,Fair,10,0.449,26.496,77.2139,0
AST-0173,Station Equipment Section 173,Station Equipment,S&T,COR-008,14.5,2012-03-07,Good,6,0.344,20.3683,80.3325,2
AST-0174,Station Equipment Section 174,Station Equipment,S&T,COR-008,7.2,2019-06-23,Good,5,0.25,25.8455,82.3194,1
AST-0175,Bridge Section 175,Bridge,Engineering,COR-005,2.6,2024-01-27,Fair,10,0.424,23.9108,79.3277,0
AST-0176,OHE Section 176,OHE,Traction Distribution,COR-004,9.4,2017-04-11,Good,6,0.134,19.1683,85.1581,3
AST-0177,OHE Section 177,OHE,Traction Distribution,COR-007,9.0,2017-09-04,Good,7,0.15,21.7423,81.8538,0
AST-0178,OHE Section 178,OHE,Traction Distribution,COR-007,6.9,2019-10-11,Good,7,0.248,28.5538,72.651,2
AST-0179,Track Section 179,Track,Engineering,COR-006,14.8,2011-11-18,Fair,8,0.539,22.1583,81.6174,5
AST-0180,Signal Section 180,Signal,S&T,COR-001,8.6,2018-01-28,Fair,8,0.402,20.8145,82.6377,3
AST-0181,Signal Section 181,Signal,S&T,COR-005,13.5,2013-03-07,Fair,9,0.406,20.8753,87.1442,3
AST-0182,Bridge Section 182,Bridge,Engineering,COR-007,17.0,2009-09-06,Fair,8,0.481,23.7921,79.1195,0
AST-0183,Signal Section 183,Signal,S&T,COR-010,40.0,1986-09-12,Fair,8,0.516,27.4265,81.6915,2
AST-0184,Signal Section 184,Signal,S&T,COR-006,9.5,2017-03-06,Warning,10,0.569,26.58,80.1,2
AST-0185,OHE Section 185,OHE,Traction Distribution,COR-004,22.1,2004-08-02,Good,6,0.312,23.3685,81.0065,1
AST-0186,Track Section 186,Track,Engineering,COR-006,12.0,2014-09-05,Fair,8,0.543,21.0873,73.5769,4
AST-0187,Track Section 187,Track,Engineering,COR-002,12.5,2014-03-07,Good,9,0.171,19.4606,86.8565,0
AST-0188,Signal Section 188,Signal,S&T,COR-001,9.6,2017-01-28,Fair,9,0.509,23.6263,87.0666,1
AST-0189,Signal Section 189,Signal,S&T,COR-007,11.3,2015-05-19,Fair,9,0.361,27.1478,81.269,1
AST-0190,Track Section 190,Track,Engineering,COR-010,8.7,2017-12-23,Good,8,0.058,26.2968,81.4049,0
AST-0191,Signal Section 191,Signal,S&T,COR-009,19.6,2007-01-31,Good,9,0.285,23.086,73.4209,1
AST-0192,Signal Section 192,Signal,S&T,COR-006,5.7,2020-12-22,Fair,9,0.391,24.947,82.0672,2
AST-0193,Track Section 193,Track,Engineering,COR-001,2.6,2024-01-27,Good,8,0.297,23.3625,79.3664,1
AST-0194,Signal Section 194,Signal,S&T,COR-010,6.7,2019-12-23,Good,7,0.144,24.7902,83.8447,0
AST-0195,OHE Section 195,OHE,Traction Distribution,COR-005,6.2,2020-06-22,Fair,9,0.391,24.1751,73.254,1
AST-0196,Track Section 196,Track,Engineering,COR-003,6.7,2019-12-23,Good,7,0.279,25.8097,83.8742,0
AST-0197,Station Equipment Section 197,Station Equipment,S&T,COR-009,9.2,2017-06-24,Good,4,0.22,24.0771,77.0903,1
AST-0198,Station Equipment Section 198,Station Equipment,S&T,COR-008,6.7,2019-12-23,Good,5,0.144,28.4061,82.9273,0
AST-0199,Signal Section 199,Signal,S&T,COR-008,9.1,2017-07-30,Good,8,0.235,23.2803,82.534,1
AST-0200,Track Section 200,Track,Engineering,COR-003,6.8,2019-11-16,Good,8,0.218,19.1592,76.1295,1
AST-0201,Signal Section 201,Signal,S&T,COR-010,13.7,2012-12-24,Fair,10,0.394,21.3637,79.5472,3
AST-0202,Bridge Section 202,Bridge,Engineering,COR-005,40.0,1986-09-12,Critical,10,1.0,24.0061,85.8701,4
AST-0203,OHE Section 203,OHE,Traction Distribution,COR-006,11.9,2014-10-12,Fair,7,0.476,24.4057,82.1895,4
AST-0204,Bridge Section 204,Bridge,Engineering,COR-008,7.0,2019-09-04,Good,9,0.338,24.5238,73.5998,1
AST-0205,Signal Section 205,Signal,S&T,COR-007,0.8,2025-11-14,Good,9,0.236,26.1455,79.5865,0
AST-0206,OHE Section 206,OHE,Traction Distribution,COR-002,32.2,1994-06-29,Fair,6,0.441,21.7465,77.4883,0
AST-0207,Track Section 207,Track,Engineering,COR-004,12.3,2014-05-19,Good,8,0.295,25.649,82.7663,2
AST-0208,OHE Section 208,OHE,Traction Distribution,COR-004,9.1,2017-07-30,Good,7,0.17,26.0403,82.333,1
AST-0209,Track Section 209,Track,Engineering,COR-010,0.9,2025-10-09,Good,8,0.0,23.1128,72.6664,0
AST-0210,OHE Section 210,OHE,Traction Distribution,COR-008,9.4,2017-04-11,Fair,8,0.376,23.0217,82.2231,1
AST-0211,Bridge Section 211,Bridge,Engineering,COR-004,11.2,2015-06-25,Good,10,0.32,20.7892,84.2576,2
AST-0212,Track Section 212,Track,Engineering,COR-008,6.8,2019-11-16,Fair,8,0.383,23.1399,84.7997,1
AST-0213,OHE Section 213,OHE,Traction Distribution,COR-008,3.1,2023-07-29,Good,8,0.315,26.8682,73.4436,3
AST-0214,Track Section 214,Track,Engineering,COR-004,2.9,2023-10-10,Good,8,0.213,28.0897,77.3585,1
AST-0215,OHE Section 215,OHE,Traction Distribution,COR-005,32.6,1994-02-03,Critical,9,0.815,24.9361,79.2404,1
AST-0216,Track Section 216,Track,Engineering,COR-009,11.0,2015-09-05,Good,8,0.224,21.9937,75.3763,1
AST-0217,Station Equipment Section 217,Station Equipment,S&T,COR-006,6.8,2019-11-16,Fair,5,0.362,25.8229,79.2317,1
AST-0218,Track Section 218,Track,Engineering,COR-002,10.6,2016-01-29,Good,7,0.137,26.4015,73.6381,0
AST-0219,Station Equipment Section 219,Station Equipment,S&T,COR-008,10.0,2016-09-04,Fair,5,0.389,22.3221,74.3115,1
AST-0220,Bridge Section 220,Bridge,Engineering,COR-006,2.8,2023-11-16,Good,10,0.338,27.2655,83.1991,0
AST-0221,Signal Section 221,Signal,S&T,COR-006,18.8,2007-11-19,Fair,10,0.397,19.737,76.7012,0
AST-0222,OHE Section 222,OHE,Traction Distribution,COR-008,8.9,2017-10-11,Good,8,0.336,19.1075,83.8825,2
AST-0223,OHE Section 223,OHE,Traction Distribution,COR-010,11.1,2015-07-31,Good,7,0.138,20.2297,73.2697,1
AST-0224,Station Equipment Section 224,Station Equipment,S&T,COR-004,25.9,2000-10-15,Fair,5,0.437,20.5601,81.5032,2
AST-0225,Track Section 225,Track,Engineering,COR-005,3.2,2023-06-22,Good,9,0.209,27.7893,78.7632,1
AST-0226,Signal Section 226,Signal,S&T,COR-002,5.5,2021-03-05,Good,9,0.306,23.2498,85.2515,0
AST-0227,Track Section 227,Track,Engineering,COR-007,12.8,2013-11-17,Fair,8,0.439,21.7493,85.0432,1
AST-0228,OHE Section 228,OHE,Traction Distribution,COR-005,18.5,2008-03-08,Warning,8,0.619,23.2908,78.509,1
AST-0229,Track Section 229,Track,Engineering,COR-004,6.3,2020-05-17,Fair,9,0.467,22.9484,82.4634,1
AST-0230,Signal Section 230,Signal,S&T,COR-007,6.6,2020-01-28,Good,9,0.203,22.0146,76.1408,1
