taskId,assetId,assetType,department,corridorId,defectSeverity,assetCriticality,historicalFailures,overdueDays,trainTraffic,safetyRisk,expectedDegradation,assetAgeYears,priorityScore,failureRisk,riskLevel,recommendedDeadline,status,estimatedDurationMinutes
MT-00017,AST-0168,Bridge,Engineering,COR-002,3.1,9,0,2,26,5.9,0.0,5.2,44,0.44,Low,2026-09-19,completed,75
MT-00018,AST-0069,Track,Engineering,COR-008,9.5,7,3,0,69,8.1,0.706,24.8,69,0.686,High,2026-09-06,pending,135
MT-00019,AST-0433,Track,Engineering,COR-001,7.1,8,4,4,45,6.0,0.317,5.1,56,0.562,Medium,2026-09-15,pending,135
MT-00020,AST-0392,Track,Engineering,COR-003,7.5,7,2,2,32,5.5,0.37,20.0,58,0.576,Medium,2026-09-16,completed,60
MT-00021,AST-0513,Track,Engineering,COR-003,6.9,7,2,5,32,6.3,0.433,40.0,49,0.488,Low,2026-09-16,completed,105
MT-00022,AST-0076,Track,Engineering,COR-004,7.4,8,2,7,48,7.5,0.453,21.2,59,0.586,Medium,2026-09-13,completed,90
MT-00023,AST-0251,Track,Engineering,COR-008,4.5,9,3,39,69,7.8,0.398,8.2,76,0.763,Critical,2026-09-10,pending,45
MT-00024,AST-0007,Signal,S&T,COR-003,6.3,9,4,25,32,5.9,0.377,6.1,65,0.653,High,2026-09-10,overdue,135
MT-00025,AST-0788,OHE,Traction Distribution,COR-010,5.0,7,0,3,20,5.2,0.184,12.7,38,0.381,Low,2026-10-03,in_progress,195
MT-00026,AST-0445,Track,Engineering,COR-005,2.4,9,0,6,100,6.6,0.122,9.0,58,0.581,Medium,2026-09-16,overdue,225
MT-00027,AST-0045,Bridge,Engineering,COR-005,5.8,10,2,1,100,9.3,0.197,2.3,63,0.629,Medium,2026-09-12,pending,105
MT-00028,AST-0704,Signal,S&T,COR-005,3.2,10,0,5,100,5.3,0.305,11.5,54,0.541,Medium,2026-09-19,pending,45
MT-00029,AST-0326,Track,Engineering,COR-001,5.1,9,2,6,45,5.8,0.429,6.1,52,0.517,Low,2026-09-14,pending,195
MT-00030,AST-0153,Signal,S&T,COR-010,5.9,9,0,4,20,7.2,0.399,21.3,56,0.559,Medium,2026-09-15,completed,90
MT-00031,AST-0184,Signal,S&T,COR-006,5.7,10,2,4,73,6.7,0.53,9.5,65,0.65,High,2026-09-11,completed,30
MT-00032,AST-0113,Bridge,Engineering,COR-006,5.6,10,1,7,73,6.5,0.263,11.9,71,0.706,High,2026-09-09,in_progress,195
MT-00033,AST-0764,Signal,S&T,COR-006,5.2,9,1,1,73,6.8,0.15,12.1,52,0.52,Low,2026-09-19,pending,165
MT-00034,AST-0190,Track,Engineering,COR-010,3.0,8,0,4,20,6.7,0.056,8.7,39,0.394,Low,2026-09-29,pending,105
MT-00035,AST-0291,Bridge,Engineering,COR-007,6.4,10,2,0,45,6.3,0.253,2.3,61,0.607,Medium,2026-09-17,pending,210
MT-00036,AST-0313,Track,Engineering,COR-007,2.8,7,0,0,45,6.1,0.0,4.4,41,0.411,Low,2026-09-12,completed,195
MT-00037,AST-0202,Bridge,Engineering,COR-005,10.0,10,4,3,100,8.4,1.0,40.0,85,0.853,Critical,2026-09-03,pending,150
MT-00038,AST-0463,OHE,Traction Distribution,COR-002,4.1,6,0,7,26,5.0,0.0,3.3,32,0.318,Low,2026-10-12,pending,30
MT-00039,AST-0551,OHE,Traction Distribution,COR-007,2.1,8,0,1,45,6.4,0.0,2.1,34,0.342,Low,2026-10-04,pending,180
MT-00040,AST-0773,Bridge,Engineering,COR-001,4.7,10,2,10,45,7.2,0.43,27.2,57,0.574,Medium,2026-09-18,pending,180
MT-00041,AST-0495,Track,Engineering,COR-001,6.2,8,1,4,45,6.2,0.077,6.9,51,0.511,Low,2026-09-20,overdue,240
MT-00042,AST-0138,Track,Engineering,COR-001,5.2,8,2,14,45,6.8,0.336,8.7,58,0.578,Medium,2026-09-22,pending,165
MT-00043,AST-0484,Bridge,Engineering,COR-001,3.1,10,0,0,45,6.1,0.236,3.3,54,0.537,Medium,2026-09-12,overdue,195
MT-00044,AST-0196,Track,Engineering,COR-003,6.8,7,0,17,32,6.7,0.244,6.7,52,0.522,Low,2026-09-18,completed,195
MT-00045,AST-0073,Track,Engineering,COR-005,5.3,10,0,4,100,6.9,0.324,4.7,59,0.589,Medium,2026-09-22,in_progress,240
MT-00046,AST-0258,Signal,S&T,COR-002,5.0,8,1,2,26,6.9,0.0,1.4,45,0.45,Low,2026-09-14,in_progress,225
MT-00047,AST-0705,Track,Engineering,COR-002,6.7,7,1,5,26,4.8,0.227,4.1,51,0.505,Low,2026-09-21,completed,225
MT-00048,AST-0401,OHE,Traction Distribution,COR-009,5.8,7,1,12,26,4.8,0.254,8.3,39,0.388,Low,2026-10-06,completed,240
MT-00049,AST-0375,OHE,Traction Distribution,COR-002,9.1,7,1,17,26,5.7,0.253,3.5,54,0.541,Medium,2026-09-15,pending,225
MT-00050,AST-0350,Track,Engineering,COR-007,2.4,8,2,3,45,4.9,0.251,6.0,40,0.403,Low,2026-09-20,overdue,60
MT-00051,AST-0605,Track,Engineering,COR-002,3.5,7,0,3,26,3.4,0.195,8.7,43,0.431,Low,2026-09-21,pending,195
MT-00052,AST-0765,Track,Engineering,COR-009,5.9,8,2,2,26,5.7,0.431,10.8,58,0.585,Medium,2026-09-13,pending,120
MT-00053,AST-0584,OHE,Traction Distribution,COR-008,10.0,7,4,9,69,6.4,0.726,30.9,71,0.711,High,2026-09-10,pending,75
MT-00054,AST-0280,OHE,Traction Distribution,COR-008,8.5,8,1,1,69,8.9,0.379,20.3,63,0.634,Medium,2026-09-22,completed,150
MT-00055,AST-0523,Bridge,Engineering,COR-002,7.3,10,0,2,26,6.9,0.267,11.4,52,0.519,Low,2026-09-19,pending,60
MT-00056,AST-0746,Track,Engineering,COR-001,4.6,8,2,1,45,4.6,0.326,19.4,48,0.479,Low,2026-09-18,pending,90
MT-00057,AST-0449,Bridge,Engineering,COR-008,5.5,10,4,5,69,7.4,0.525,20.7,73,0.727,High,2026-09-06,pending,60
MT-00058,AST-0318,Bridge,Engineering,COR-005,4.8,10,1,6,100,8.6,0.479,3.8,76,0.764,Critical,2026-09-08,pending,120
MT-00059,AST-0392,Track,Engineering,COR-003,5.2,7,2,8,32,5.5,0.57,20.0,53,0.532,Low,2026-09-21,pending,90
MT-00060,AST-0152,OHE,Traction Distribution,COR-006,9.3,7,4,12,73,7.2,0.586,4.2,70,0.697,High,2026-09-10,completed,150
MT-00061,AST-0093,OHE,Traction Distribution,COR-006,4.4,8,0,11,73,7.1,0.211,9.1,60,0.598,Medium,2026-09-16,pending,120
MT-00062,AST-0760,Station Equipment,S&T,COR-008,7.9,6,1,5,69,7.0,0.756,40.0,71,0.714,High,2026-09-07,overdue,45
MT-00063,AST-0225,Track,Engineering,COR-005,6.3,9,1,7,100,7.4,0.207,3.2,65,0.651,High,2026-09-10,completed,75
MT-00064,AST-0662,Station Equipment,S&T,COR-005,3.8,5,1,3,100,3.4,0.468,10.3,37,0.375,Low,2026-10-16,completed,150
MT-00065,AST-0357,Signal,S&T,COR-001,5.5,9,2,3,45,7.2,0.305,11.5,53,0.529,Low,2026-09-15,overdue,195
MT-00066,AST-0482,Station Equipment,S&T,COR-004,3.6,5,3,13,48,2.6,0.347,15.8,43,0.428,Low,2026-09-20,pending,225
MT-00067,AST-0580,Track,Engineering,COR-004,4.4,8,1,3,48,5.1,0.188,12.9,37,0.369,Low,2026-09-30,in_progress,45
MT-00068,AST-0220,Bridge,Engineering,COR-006,4.8,10,0,0,73,8.4,0.291,2.8,59,0.589,Medium,2026-09-21,pending,165
MT-00069,AST-0482,Station Equipment,S&T,COR-004,4.3,5,3,2,48,5.5,0.203,15.8,42,0.421,Low,2026-09-22,pending,150
MT-00070,AST-0020,Station Equipment,S&T,COR-009,4.5,4,0,4,26,4.2,0.103,2.4,43,0.43,Low,2026-09-19,pending,165
MT-00071,AST-0517,Bridge,Engineering,COR-008,6.9,10,1,4,69,5.8,0.539,17.7,58,0.581,Medium,2026-09-17,completed,90
MT-00072,AST-0788,OHE,Traction Distribution,COR-010,4.2,7,0,4,20,4.0,0.129,12.7,42,0.418,Low,2026-09-15,completed,45
MT-00073,AST-0034,Track,Engineering,COR-008,6.6,10,0,1,69,7.0,0.382,15.1,66,0.659,High,2026-09-06,pending,75
MT-00074,AST-0124,OHE,Traction Distribution,COR-009,4.3,7,1,5,26,5.0,0.353,9.5,47,0.471,Low,2026-09-12,completed,195
MT-00075,AST-0287,Station Equipment,S&T,COR-010,5.7,4,0,17,20,3.0,0.077,6.6,37,0.37,Low,2026-10-13,pending,240
MT-00076,AST-0698,Track,Engineering,COR-010,5.1,7,0,3,20,5.3,0.297,9.0,38,0.379,Low,2026-10-08,pending,195
MT-00077,AST-0742,Track,Engineering,COR-004,4.9,7,0,2,48,7.2,0.282,6.9,49,0.49,Low,2026-09-14,pending,120
MT-00078,AST-0416,Track,Engineering,COR-001,4.1,9,2,6,45,6.5,0.261,5.4,53,0.534,Low,2026-09-18,in_progress,195
MT-00079,AST-0131,Track,Engineering,COR-001,5.4,8,1,5,45,6.4,0.325,17.2,51,0.507,Low,2026-09-21,in_progress,210
MT-00080,AST-0084,Track,Engineering,COR-002,7.7,7,0,20,26,5.6,0.0,9.4,64,0.639,Medium,2026-09-19,pending,135
MT-00081,AST-0403,Signal,S&T,COR-002,4.7,9,0,10,26,4.7,0.152,5.4,49,0.486,Low,2026-09-22,pending,240
MT-00082,AST-0022,Signal,S&T,COR-002,3.4,10,2,3,26,5.1,0.207,2.4,35,0.355,Low,2026-09-25,in_progress,60
MT-00083,AST-0632,OHE,Traction Distribution,COR-006,7.3,7,2,9,73,4.7,0.35,11.7,59,0.595,Medium,2026-09-12,completed,225
MT-00084,AST-0580,Track,Engineering,COR-004,4.1,8,1,4,48,5.7,0.176,12.9,50,0.495,Low,2026-09-19,pending,30
MT-00085,AST-0204,Bridge,Engineering,COR-008,6.1,9,1,7,69,7.3,0.426,7.0,67,0.665,High,2026-09-09,completed,75
MT-00086,AST-0048,Track,Engineering,COR-009,5.3,8,1,5,26,5.2,0.47,25.8,52,0.521,Low,2026-09-19,completed,45
MT-00087,AST-0785,Track,Engineering,COR-001,7.2,7,1,1,45,6.5,0.243,13.5,58,0.58,Medium,2026-09-22,in_progress,135
MT-00088,AST-0525,Signal,S&T,COR-002,5.6,9,1,0,26,8.2,0.54,27.2,48,0.48,Low,2026-09-13,pending,75
MT-00089,AST-0350,Track,Engineering,COR-007,7.4,8,2,3,45,8.9,0.274,6.0,57,0.571,Medium,2026-09-22,overdue,45
MT-00090,AST-0108,Track,Engineering,COR-001,4.2,9,2,5,45,7.0,0.403,14.5,62,0.624,Medium,2026-09-12,in_progress,225
MT-00091,AST-0746,Track,Engineering,COR-001,5.4,8,2,1,45,6.0,0.388,19.4,40,0.397,Low,2026-09-17,pending,105
MT-00092,AST-0394,Track,Engineering,COR-005,10.0,9,2,17,100,9.2,0.792,6.2,91,0.91,Critical,2026-09-05,completed,105
MT-00093,AST-0623,Signal,S&T,COR-007,5.7,10,1,2,45,8.6,0.162,7.7,63,0.628,Medium,2026-09-19,completed,165
MT-00094,AST-0655,Track,Engineering,COR-010,10.0,8,4,7,20,6.0,0.756,28.4,73,0.725,High,2026-09-07,completed,75
MT-00095,AST-0637,Signal,S&T,COR-009,5.5,7,1,12,26,7.2,0.462,13.0,61,0.607,Medium,2026-09-18,completed,105
MT-00096,AST-0277,Signal,S&T,COR-010,5.1,9,0,3,20,6.0,0.151,12.1,50,0.5,Low,2026-09-21,pending,210
MT-00097,AST-0310,OHE,Traction Distribution,COR-008,10.0,7,7,12,69,7.0,0.584,20.1,69,0.693,High,2026-09-07,completed,240
MT-00098,AST-0036,OHE,Traction Distribution,COR-004,4.2,6,2,14,48,4.3,0.592,14.2,61,0.605,Medium,2026-09-22,pending,45
MT-00099,AST-0261,Signal,S&T,COR-003,3.6,9,4,6,32,6.3,0.405,19.0,45,0.454,Low,2026-09-19,completed,165
MT-00100,AST-0457,Track,Engineering,COR-002,3.7,7,0,1,26,3.9,0.222,11.0,30,0.3,Low,2026-09-25,pending,195
MT-00101,AST-0475,OHE,Traction Distribution,COR-008,7.5,8,1,0,69,6.7,0.373,13.0,59,0.593,Medium,2026-09-15,pending,45
MT-00102,AST-0763,Signal,S&T,COR-003,1.4,9,0,2,32,5.6,0.111,9.5,36,0.355,Low,2026-10-13,pending,165
MT-00103,AST-0567,Signal,S&T,COR-001,6.0,9,2,7,45,7.1,0.142,7.7,59,0.586,Medium,2026-09-15,completed,225
MT-00104,AST-0556,Track,Engineering,COR-001,8.2,7,2,13,45,7.2,0.671,26.9,71,0.713,High,2026-09-11,in_progress,75
MT-00105,AST-0216,Track,Engineering,COR-009,8.3,8,1,18,26,7.0,0.118,11.0,73,0.727,High,2026-09-08,completed,225
MT-00106,AST-0435,Signal,S&T,COR-007,7.1,8,1,7,45,7.5,0.284,13.0,62,0.625,Medium,2026-09-15,pending,240
MT-00107,AST-0040,Track,Engineering,COR-007,5.8,8,1,5,45,7.4,0.224,18.2,52,0.516,Low,2026-09-21,pending,240
MT-00108,AST-0132,Track,Engineering,COR-010,6.6,8,2,0,20,7.6,0.137,9.2,51,0.505,Low,2026-09-20,in_progress,135
MT-00109,AST-0414,Signal,S&T,COR-001,6.8,9,0,9,45,7.6,0.374,11.0,60,0.603,Medium,2026-09-14,pending,225
MT-00110,AST-0461,Signal,S&T,COR-001,5.6,9,1,12,45,7.7,0.516,37.0,70,0.703,High,2026-09-10,completed,120
MT-00111,AST-0798,Track,Engineering,COR-003,3.3,7,1,3,32,5.7,0.174,10.6,40,0.404,Low,2026-09-14,overdue,195
MT-00112,AST-0649,Signal,S&T,COR-007,3.9,10,1,1,45,9.2,0.144,8.9,54,0.544,Medium,2026-09-21,completed,150
MT-00113,AST-0567,Signal,S&T,COR-001,5.0,9,2,6,45,7.7,0.201,7.7,47,0.472,Low,2026-09-12,pending,225
MT-00114,AST-0679,Track,Engineering,COR-005,6.0,10,1,8,100,7.3,0.375,8.4,60,0.599,Medium,2026-09-19,in_progress,135
MT-00115,AST-0374,Signal,S&T,COR-003,1.0,9,0,3,32,4.0,0.079,3.9,28,0.277,Low,2026-09-26,overdue,90
MT-00116,AST-0711,OHE,Traction Distribution,COR-002,3.9,7,1,2,26,4.8,0.084,3.3,46,0.458,Low,2026-09-19,completed,210
MT-00117,AST-0662,Station Equipment,S&T,COR-005,6.5,5,1,3,100,4.8,0.498,10.3,49,0.494,Low,2026-09-22,completed,45
MT-00118,AST-0045,Bridge,Engineering,COR-005,5.9,10,2,1,100,7.9,0.242,2.3,67,0.673,High,2026-09-10,pending,240
MT-00119,AST-0648,Track,Engineering,COR-010,7.6,7,1,4,20,5.8,0.152,4.9,46,0.456,Low,2026-09-16,completed,90
MT-00120,AST-0722,Track,Engineering,COR-009,5.1,8,1,0,26,7.2,0.171,11.1,43,0.432,Low,2026-09-21,pending,135
MT-00121,AST-0496,Track,Engineering,COR-005,4.9,9,2,2,100,5.1,0.561,7.0,60,0.596,Medium,2026-09-14,completed,165
MT-00122,AST-0198,Station Equipment,S&T,COR-008,1.8,5,0,1,69,1.6,0.06,6.7,36,0.362,Low,2026-10-06,completed,150
MT-00123,AST-0101,Station Equipment,S&T,COR-002,6.0,4,0,2,26,4.3,0.198,10.1,39,0.391,Low,2026-10-16,overdue,195
MT-00124,AST-0181,Signal,S&T,COR-005,4.6,9,3,1,100,5.5,0.44,13.5,59,0.592,Medium,2026-09-15,pending,195
MT-00125,AST-0170,Station Equipment,S&T,COR-007,7.2,5,2,2,45,4.1,0.438,20.8,53,0.526,Low,2026-09-12,completed,195
MT-00126,AST-0030,Track,Engineering,COR-005,9.2,8,3,15,100,7.0,0.627,6.8,78,0.78,Critical,2026-09-08,pending,210
MT-00127,AST-0283,Bridge,Engineering,COR-007,2.9,9,1,0,45,4.9,0.273,20.0,47,0.471,Low,2026-09-17,in_progress,150
MT-00128,AST-0765,Track,Engineering,COR-009,7.2,8,2,5,26,6.9,0.485,10.8,62,0.62,Medium,2026-09-20,completed,210
MT-00129,AST-0191,Signal,S&T,COR-009,7.5,9,1,2,26,6.9,0.248,19.6,59,0.587,Medium,2026-09-20,in_progress,240
MT-00130,AST-0727,Station Equipment,S&T,COR-010,8.0,5,3,13,20,5.2,0.456,18.5,55,0.546,Medium,2026-09-15,pending,210
MT-00131,AST-0739,OHE,Traction Distribution,COR-007,2.0,7,3,1,45,4.3,0.209,9.8,33,0.33,Low,2026-10-11,completed,30
MT-00132,AST-0013,Track,Engineering,COR-006,3.9,9,2,7,73,7.1,0.324,7.9,55,0.547,Medium,2026-09-13,completed,150
MT-00133,AST-0647,OHE,Traction Distribution,COR-003,3.5,6,0,6,32,5.9,0.332,11.9,40,0.396,Low,2026-09-14,in_progress,120
MT-00134,AST-0489,OHE,Traction Distribution,COR-009,6.1,7,1,2,26,6.1,0.2,16.5,41,0.408,Low,2026-09-18,in_progress,150
MT-00135,AST-0444,OHE,Traction Distribution,COR-010,5.6,6,0,12,20,5.5,0.192,11.6,51,0.507,Low,2026-09-19,completed,135
MT-00136,AST-0107,Track,Engineering,COR-007,1.9,8,3,11,45,4.6,0.499,13.0,49,0.487,Low,2026-09-20,pending,30
MT-00137,AST-0623,Signal,S&T,COR-007,4.9,10,1,12,45,7.4,0.333,7.7,66,0.657,High,2026-09-09,pending,195
MT-00138,AST-0498,OHE,Traction Distribution,COR-006,8.9,8,3,12,73,8.0,0.683,32.8,80,0.799,Critical,2026-09-06,in_progress,135
MT-00139,AST-0350,Track,Engineering,COR-007,5.4,8,2,11,45,7.5,0.073,6.0,52,0.518,Low,2026-09-19,completed,135
MT-00140,AST-0487,Signal,S&T,COR-009,5.9,8,2,9,26,4.5,0.356,21.0,47,0.472,Low,2026-09-16,pending,240
MT-00141,AST-0235,OHE,Traction Distribution,COR-002,4.3,6,0,14,26,4.5,0.136,4.2,45,0.445,Low,2026-09-14,pending,180
MT-00142,AST-0530,OHE,Traction Distribution,COR-007,4.4,7,5,4,45,5.6,0.459,4.0,45,0.447,Low,2026-09-15,overdue,60
MT-00143,AST-0006,Track,Engineering,COR-001,6.8,8,2,11,45,6.7,0.62,18.0,61,0.61,Medium,2026-09-20,completed,30
MT-00144,AST-0050,Track,Engineering,COR-002,4.5,7,1,10,26,4.4,0.133,11.0,54,0.54,Medium,2026-09-13,completed,135
MT-00145,AST-0439,Track,Engineering,COR-008,5.6,7,0,7,69,4.4,0.211,2.0,45,0.449,Low,2026-09-18,completed,60
MT-00146,AST-0333,Track,Engineering,COR-005,7.4,8,2,12,100,7.8,0.525,9.6,86,0.858,Critical,2026-09-03,overdue,60
MT-00147,AST-0618,Track,Engineering,COR-005,5.2,9,0,0,100,5.8,0.298,7.0,58,0.577,Medium,2026-09-19,in_progress,30
MT-00148,AST-0183,Signal,S&T,COR-010,8.3,8,2,17,20,5.6,0.585,40.0,71,0.71,High,2026-09-06,pending,180
MT-00149,AST-0688,Track,Engineering,COR-010,3.4,7,0,1,20,5.7,0.077,11.4,40,0.397,Low,2026-09-22,completed,90
MT-00150,AST-0422,Track,Engineering,COR-007,1.7,8,0,5,45,5.1,0.0,4.7,42,0.424,Low,2026-09-21,overdue,165
MT-00151,AST-0600,Track,Engineering,COR-006,6.6,9,1,13,73,7.0,0.304,6.4,77,0.771,Critical,2026-09-11,completed,120
MT-00152,AST-0662,Station Equipment,S&T,COR-005,6.6,5,1,1,100,4.2,0.609,10.3,48,0.482,Low,2026-09-15,pending,165
MT-00153,AST-0261,Signal,S&T,COR-003,7.0,9,4,21,32,7.2,0.443,19.0,68,0.681,High,2026-09-10,overdue,150
MT-00154,AST-0476,Station Equipment,S&T,COR-001,4.1,5,2,3,45,5.4,0.479,20.8,39,0.386,Low,2026-09-26,completed,195
MT-00155,AST-0589,OHE,Traction Distribution,COR-004,8.8,7,3,6,48,5.4,0.354,12.1,51,0.506,Low,2026-09-15,pending,120
MT-00156,AST-0234,OHE,Traction Distribution,COR-003,5.8,7,0,2,32,4.3,0.172,5.5,39,0.39,Low,2026-09-26,overdue,150
MT-00157,AST-0332,Track,Engineering,COR-002,5.1,8,0,0,26,5.4,0.185,14.4,51,0.511,Low,2026-09-12,completed,135
MT-00158,AST-0775,Track,Engineering,COR-010,3.3,7,1,3,20,4.8,0.139,4.9,36,0.357,Low,2026-10-01,completed,195
MT-00159,AST-0226,Signal,S&T,COR-002,7.3,9,0,0,26,6.9,0.301,5.5,62,0.623,Medium,2026-09-18,overdue,45
MT-00160,AST-0470,Track,Engineering,COR-003,3.0,8,1,2,32,5.8,0.179,2.4,51,0.511,Low,2026-09-21,pending,30
MT-00161,AST-0086,Track,Engineering,COR-001,8.5,7,1,2,45,8.0,0.225,13.2,72,0.716,High,2026-09-06,completed,120
MT-00162,AST-0671,Track,Engineering,COR-009,4.8,8,1,11,26,6.2,0.292,1.6,63,0.632,Medium,2026-09-16,pending,120
MT-00163,AST-0477,OHE,Traction Distribution,COR-001,7.2,7,1,3,45,6.9,0.119,0.8,64,0.636,Medium,2026-09-19,completed,225
MT-00164,AST-0248,OHE,Traction Distribution,COR-009,3.7,6,0,1,26,4.8,0.061,2.3,35,0.349,Low,2026-09-27,completed,135
MT-00165,AST-0184,Signal,S&T,COR-006,9.4,10,2,3,73,8.8,0.686,9.5,78,0.775,Critical,2026-09-10,completed,90
MT-00166,AST-0634,Track,Engineering,COR-001,3.7,8,0,5,45,4.2,0.201,4.6,46,0.462,Low,2026-09-18,completed,60
MT-00167,AST-0077,Track,Engineering,COR-006,7.0,8,1,1,73,5.8,0.568,13.2,59,0.588,Medium,2026-09-18,completed,195
MT-00168,AST-0712,OHE,Traction Distribution,COR-008,6.3,7,4,1,69,4.7,0.136,7.2,48,0.485,Low,2026-09-13,pending,135
MT-00169,AST-0086,Track,Engineering,COR-001,5.9,7,1,0,45,5.7,0.262,13.2,49,0.493,Low,2026-09-13,pending,105
MT-00170,AST-0699,Signal,S&T,COR-004,6.5,8,0,4,48,6.8,0.18,0.3,52,0.519,Low,2026-09-21,pending,180
MT-00171,AST-0231,Signal,S&T,COR-005,7.6,10,4,13,100,6.6,0.88,15.8,76,0.761,Critical,2026-09-11,completed,60
MT-00172,AST-0316,OHE,Traction Distribution,COR-009,5.6,6,1,0,26,5.3,0.209,23.4,41,0.408,Low,2026-09-16,completed,30
MT-00173,AST-0576,OHE,Traction Distribution,COR-003,7.3,6,1,3,32,5.0,0.217,5.8,43,0.428,Low,2026-09-18,completed,60
MT-00174,AST-0401,OHE,Traction Distribution,COR-009,4.2,7,1,35,26,4.1,0.302,8.3,50,0.498,Low,2026-09-17,pending,90
MT-00175,AST-0036,OHE,Traction Distribution,COR-004,7.6,6,2,1,48,5.4,0.549,14.2,51,0.51,Low,2026-09-17,completed,240
MT-00176,AST-0590,Bridge,Engineering,COR-005,6.2,10,3,30,100,6.4,0.417,17.7,76,0.764,Critical,2026-09-10,in_progress,225
MT-00177,AST-0289,OHE,Traction Distribution,COR-004,4.9,6,0,5,48,5.6,0.149,1.7,51,0.509,Low,2026-09-18,overdue,60
MT-00178,AST-0630,Track,Engineering,COR-002,5.6,6,0,1,26,5.1,0.216,14.2,39,0.389,Low,2026-09-26,completed,30
MT-00179,AST-0728,Track,Engineering,COR-008,4.3,8,2,3,69,6.5,0.385,5.9,59,0.591,Medium,2026-09-12,in_progress,90
MT-00180,AST-0162,Signal,S&T,COR-005,4.5,10,1,8,100,6.4,0.197,5.5,65,0.653,High,2026-09-11,completed,165
MT-00181,AST-0046,Track,Engineering,COR-002,5.9,7,1,1,26,5.5,0.302,13.3,44,0.437,Low,2026-09-20,pending,120
MT-00182,AST-0629,Track,Engineering,COR-003,4.8,7,0,1,32,7.3,0.239,13.9,45,0.454,Low,2026-09-14,pending,240
MT-00183,AST-0476,Station Equipment,S&T,COR-001,8.6,5,2,3,45,4.3,0.436,20.8,44,0.44,Low,2026-09-12,completed,225
MT-00184,AST-0399,Signal,S&T,COR-002,6.6,9,1,2,26,8.4,0.26,12.3,57,0.565,Medium,2026-09-14,completed,120
MT-00185,AST-0046,Track,Engineering,COR-002,6.1,7,1,2,26,7.6,0.329,13.3,54,0.535,Medium,2026-09-18,pending,180
MT-00186,AST-0043,Signal,S&T,COR-005,4.1,10,1,17,100,7.4,0.27,19.3,76,0.76,Critical,2026-09-09,pending,150
MT-00187,AST-0291,Bridge,Engineering,COR-007,4.2,10,2,10,45,6.3,0.292,2.3,52,0.517,Low,2026-09-13,in_progress,240
MT-00188,AST-0096,Station Equipment,S&T,COR-002,7.4,4,1,1,26,6.4,0.062,15.1,32,0.324,Low,2026-09-27,pending,240
MT-00189,AST-0184,Signal,S&T,COR-006,5.2,10,2,10,73,6.8,0.654,9.5,67,0.67,High,2026-09-07,pending,165
MT-00190,AST-0231,Signal,S&T,COR-005,8.6,10,4,15,100,7.7,0.856,15.8,95,0.946,Critical,2026-09-04,in_progress,165
MT-00191,AST-0266,Track,Engineering,COR-003,6.2,8,0,2,32,6.1,0.351,8.7,51,0.513,Low,2026-09-14,overdue,195
