simId,corridorId,corridorTrafficLevel,blockStartHour,blockDurationHours,isPeakHour,affectedTrains,expectedDelayMinutes,criticalTrainsAffected,alternativeRoutesAvailable
SIM-0034,COR-009,26,11,4,0,0,0.0,0,2
SIM-0035,COR-003,32,18,4,1,4,25.3,1,0
SIM-0036,COR-004,48,5,2,0,3,18.0,0,2
SIM-0037,COR-006,73,16,6,0,8,45.5,1,1
SIM-0038,COR-003,32,2,2,0,0,3.4,0,0
SIM-0039,COR-009,26,12,4,0,2,7.3,0,2
SIM-0040,COR-007,45,0,4,0,2,1.2,0,1
SIM-0041,COR-006,73,21,4,0,5,22.6,1,3
SIM-0042,COR-003,32,18,1,1,3,12.8,1,3
SIM-0043,COR-005,100,5,4,0,4,16.2,1,2
SIM-0044,COR-003,32,3,5,0,2,8.6,0,2
SIM-0045,COR-010,20,14,4,0,2,14.3,0,1
SIM-0046,COR-008,69,19,6,1,10,54.4,3,0
SIM-0047,COR-002,26,7,6,1,3,16.9,1,0
SIM-0048,COR-006,73,21,2,0,5,20.6,1,1
SIM-0049,COR-008,69,10,6,0,8,30.5,1,1
SIM-0050,COR-006,73,9,7,1,15,73.9,4,3
SIM-0051,COR-002,26,7,6,1,5,38.0,2,1
SIM-0052,COR-002,26,5,6,0,3,19.5,0,0
SIM-0053,COR-008,69,7,2,1,5,24.7,2,3
SIM-0054,COR-006,73,3,5,0,9,51.4,1,3
SIM-0055,COR-006,73,8,4,1,6,24.5,2,1
SIM-0056,COR-003,32,6,7,0,4,17.1,1,0
SIM-0057,COR-003,32,1,6,0,3,10.3,0,0
SIM-0058,COR-005,100,7,2,1,5,38.0,2,2
SIM-0059,COR-006,73,0,7,0,10,58.0,2,3
SIM-0060,COR-005,100,3,5,0,9,47.3,1,1
SIM-0061,COR-009,26,15,4,0,4,14.2,1,0
SIM-0062,COR-002,26,0,4,0,3,12.7,0,1
SIM-0063,COR-005,100,6,4,0,9,47.2,1,0
SIM-0064,COR-003,32,15,6,0,2,7.5,0,1
SIM-0065,COR-001,45,0,6,0,4,14.0,1,1
SIM-0066,COR-005,100,16,4,0,6,21.6,1,2
SIM-0067,COR-001,45,1,7,0,7,18.1,1,0
SIM-0068,COR-004,48,1,2,0,1,4.6,0,1
SIM-0069,COR-007,45,4,3,0,1,3.8,0,0
SIM-0070,COR-004,48,18,5,1,5,36.9,2,1
SIM-0071,COR-007,45,1,2,0,5,20.1,1,3
SIM-0072,COR-003,32,2,4,0,2,4.9,0,2
SIM-0073,COR-005,100,20,6,0,11,25.1,2,3
SIM-0074,COR-009,26,13,5,0,1,6.6,0,0
SIM-0075,COR-003,32,12,5,0,4,17.4,1,3
SIM-0076,COR-006,73,0,2,0,0,0.0,0,3
SIM-0077,COR-008,69,8,2,1,3,22.7,1,2
SIM-0078,COR-004,48,12,4,0,3,15.6,0,3
SIM-0079,COR-004,48,11,3,0,3,12.6,0,0
SIM-0080,COR-007,45,11,1,0,0,0.0,0,2
SIM-0081,COR-001,45,2,4,0,5,14.5,1,3
SIM-0082,COR-003,32,21,6,0,4,16.0,1,0
SIM-0083,COR-005,100,15,6,0,10,34.7,2,1
SIM-0084,COR-003,32,5,1,0,2,10.2,0,1
SIM-0085,COR-006,73,21,6,0,7,25.9,1,0
SIM-0086,COR-007,45,6,3,0,2,10.1,0,0
SIM-0087,COR-010,20,2,2,0,2,6.7,0,1
SIM-0088,COR-007,45,19,4,1,2,8.0,1,0
SIM-0089,COR-006,73,3,2,0,4,17.5,1,2
SIM-0090,COR-008,69,1,5,0,5,27.7,1,0
SIM-0091,COR-003,32,13,6,0,3,8.1,0,0
SIM-0092,COR-005,100,5,6,0,13,65.7,2,2
SIM-0093,COR-009,26,3,1,0,0,4.0,0,1
SIM-0094,COR-002,26,2,3,0,3,14.6,0,1
SIM-0095,COR-003,32,2,4,0,3,1.2,0,1
SIM-0096,COR-003,32,21,7,0,4,24.8,1,1
SIM-0097,COR-010,20,14,4,0,1,0.5,0,1
SIM-0098,COR-004,48,18,5,1,6,17.9,2,0
SIM-0099,COR-004,48,13,3,0,4,14.3,1,0
SIM-0100,COR-009,26,11,3,0,3,9.0,0,1
SIM-0101,COR-010,20,4,6,0,2,7.0,0,2
SIM-0102,COR-001,45,21,6,0,4,8.3,1,3
SIM-0103,COR-009,26,18,1,1,0,4.0,0,0
SIM-0104,COR-008,69,11,4,0,6,24.9,1,0
SIM-0105,COR-009,26,2,6,0,4,11.4,1,2
SIM-0106,COR-001,45,16,2,0,2,10.1,0,3
SIM-0107,COR-001,45,7,5,1,4,24.9,1,0
SIM-0108,COR-004,48,4,4,0,4,24.7,1,0
SIM-0109,COR-009,26,16,4,0,3,12.3,0,1
SIM-0110,COR-005,100,18,5,1,14,77.6,4,2
SIM-0111,COR-008,69,13,7,0,11,47.5,2,2
SIM-0112,COR-003,32,1,1,0,0,0.0,0,0
SIM-0113,COR-004,48,13,2,0,3,13.2,0,2
SIM-0114,COR-009,26,20,3,0,0,0.0,0,1
SIM-0115,COR-005,100,15,6,0,12,48.6,2,0
SIM-0116,COR-008,69,5,5,0,7,28.7,1,3
SIM-0117,COR-007,45,14,2,0,4,21.7,1,2
SIM-0118,COR-002,26,5,1,0,1,3.6,0,1
SIM-0119,COR-010,20,19,7,1,3,16.7,1,3
SIM-0120,COR-010,20,18,1,1,0,0.0,0,3
SIM-0121,COR-008,69,12,1,0,1,7.0,0,0
SIM-0122,COR-005,100,2,3,0,5,28.4,1,3
SIM-0123,COR-005,100,8,4,1,12,87.5,4,2
SIM-0124,COR-003,32,2,2,0,3,10.2,0,1
SIM-0125,COR-007,45,16,2,0,0,1.5,0,1
SIM-0126,COR-004,48,14,1,0,1,7.3,0,0
SIM-0127,COR-002,26,5,3,0,1,5.9,0,3
SIM-0128,COR-001,45,18,7,1,8,42.6,2,1
SIM-0129,COR-005,100,16,2,0,4,19.9,1,1
SIM-0130,COR-009,26,20,5,0,4,16.0,1,0
SIM-0131,COR-008,69,6,2,0,4,21.1,1,3
SIM-0132,COR-009,26,3,5,0,4,19.7,1,1
SIM-0133,COR-007,45,10,1,0,0,1.7,0,2
SIM-0134,COR-009,26,5,2,0,1,4.0,0,1
SIM-0135,COR-008,69,16,1,0,0,0.0,0,2
SIM-0136,COR-009,26,9,5,1,4,29.1,1,2
SIM-0137,COR-006,73,13,6,0,8,35.4,1,1
SIM-0138,COR-001,45,3,2,0,3,12.7,0,1
SIM-0139,COR-004,48,1,4,0,5,26.7,1,2
SIM-0140,COR-009,26,20,3,0,2,13.5,0,0
SIM-0141,COR-008,69,9,1,1,1,7.8,0,0
SIM-0142,COR-001,45,3,1,0,0,0.0,0,0
SIM-0143,COR-001,45,17,7,1,9,55.3,3,1
SIM-0144,COR-007,45,2,5,0,6,32.6,1,0
SIM-0145,COR-010,20,21,5,0,2,7.1,0,1
SIM-0146,COR-008,69,8,3,1,4,25.0,1,2
SIM-0147,COR-010,20,10,2,0,3,9.9,0,2
SIM-0148,COR-001,45,5,6,0,5,25.3,1,3
SIM-0149,COR-009,26,1,4,0,2,4.8,0,3
SIM-0150,COR-002,26,8,1,1,0,1.0,0,1
SIM-0151,COR-009,26,8,4,1,3,7.0,1,3
SIM-0152,COR-010,20,9,4,1,3,17.4,1,3
SIM-0153,COR-006,73,10,4,0,6,26.0,1,0
SIM-0154,COR-006,73,13,4,0,4,12.9,1,0
SIM-0155,COR-005,100,1,7,0,13,57.2,2,3
SIM-0156,COR-006,73,7,2,1,3,21.9,1,3
SIM-0157,COR-009,26,19,5,1,6,40.9,2,3
SIM-0158,COR-003,32,20,7,0,5,21.3,1,1
SIM-0159,COR-003,32,11,7,0,3,11.7,0,3
SIM-0160,COR-010,20,8,7,1,2,14.0,1,3
SIM-0161,COR-009,26,9,6,1,5,28.3,2,2
SIM-0162,COR-006,73,17,1,1,1,15.9,0,2
SIM-0163,COR-003,32,8,7,1,6,38.3,2,1
SIM-0164,COR-010,20,20,1,0,0,2.5,0,2
SIM-0165,COR-009,26,0,4,0,1,0.0,0,3
SIM-0166,COR-004,48,13,4,0,4,23.0,1,3
SIM-0167,COR-006,73,11,5,0,6,31.7,1,2
SIM-0168,COR-005,100,9,6,1,19,123.6,6,0
SIM-0169,COR-009,26,10,6,0,4,15.1,1,2
SIM-0170,COR-007,45,3,2,0,0,1.1,0,1
SIM-0171,COR-005,100,7,6,1,14,99.5,4,0
SIM-0172,COR-010,20,7,6,1,4,22.2,1,0
SIM-0173,COR-007,45,14,1,0,0,3.2,0,0
SIM-0174,COR-005,100,13,5,0,11,26.8,2,1
SIM-0175,COR-010,20,9,1,1,1,3.1,0,1
SIM-0176,COR-005,100,11,4,0,5,26.5,1,1
SIM-0177,COR-005,100,12,2,0,2,8.7,0,2
SIM-0178,COR-004,48,1,3,0,2,2.6,0,2
SIM-0179,COR-003,32,19,2,1,2,7.4,1,1
SIM-0180,COR-003,32,19,7,1,5,27.8,2,1
SIM-0181,COR-001,45,8,7,1,9,63.2,3,3
SIM-0182,COR-008,69,16,6,0,6,36.5,1,1
SIM-0183,COR-006,73,8,6,1,12,77.3,4,0
SIM-0184,COR-010,20,1,3,0,2,4.7,0,3
SIM-0185,COR-007,45,19,2,1,4,17.0,1,0
SIM-0186,COR-001,45,5,4,0,4,13.2,1,3
SIM-0187,COR-007,45,7,3,1,3,23.7,1,1
SIM-0188,COR-002,26,12,2,0,3,17.3,0,3
SIM-0189,COR-001,45,9,2,1,2,0.0,1,0
SIM-0190,COR-007,45,5,2,0,3,14.3,0,0
SIM-0191,COR-001,45,17,6,1,7,46.0,2,1
SIM-0192,COR-005,100,7,3,1,8,49.7,2,1
SIM-0193,COR-009,26,13,7,0,2,10.6,0,2
SIM-0194,COR-003,32,14,5,0,3,8.1,0,2
SIM-0195,COR-007,45,20,2,0,3,10.5,0,3
SIM-0196,COR-004,48,10,1,0,0,1.6,0,2
SIM-0197,COR-002,26,10,3,0,1,4.9,0,0
SIM-0198,COR-002,26,20,1,0,1,3.2,0,0
SIM-0199,COR-001,45,10,7,0,5,18.5,1,1
SIM-0200,COR-002,26,6,7,0,1,1.2,0,3
SIM-0201,COR-002,26,0,5,0,3,15.7,0,3
SIM-0202,COR-009,26,7,3,1,2,11.8,1,2
SIM-0203,COR-009,26,4,7,0,3,10.9,0,1
SIM-0204,COR-004,48,6,5,0,5,27.9,1,1
SIM-0205,COR-008,69,11,3,0,5,20.5,1,2
SIM-0206,COR-003,32,11,7,0,4,21.4,1,3
SIM-0207,COR-007,45,4,2,0,0,0.2,0,2
SIM-0208,COR-003,32,10,4,0,2,11.7,0,0
SIM-0209,COR-007,45,9,5,1,7,32.9,2,3
SIM-0210,COR-004,48,0,7,0,6,24.0,1,3
SIM-0211,COR-009,26,6,1,0,0,0.0,0,0
SIM-0212,COR-009,26,15,3,0,0,3.3,0,1
SIM-0213,COR-004,48,0,6,0,6,20.9,1,3
SIM-0214,COR-001,45,6,4,0,3,9.6,0,3
SIM-0215,COR-004,48,10,6,0,6,13.9,1,3
SIM-0216,COR-003,32,3,6,0,5,11.8,1,3
SIM-0217,COR-005,100,14,3,0,5,14.9,1,0
SIM-0218,COR-006,73,15,3,0,5,18.2,1,0
SIM-0219,COR-010,20,7,4,1,2,17.6,1,1
SIM-0220,COR-001,45,5,1,0,1,9.1,0,2
SIM-0221,COR-006,73,17,6,1,9,73.2,3,1
SIM-0222,COR-002,26,4,1,0,0,0.0,0,1
SIM-0223,COR-006,73,3,7,0,8,30.2,1,1
SIM-0224,COR-007,45,0,6,0,4,22.0,1,2
SIM-0225,COR-009,26,2,3,0,2,3.7,0,3
SIM-0226,COR-006,73,19,1,1,2,15.4,1,3
SIM-0227,COR-002,26,20,6,0,3,21.9,0,0
SIM-0228,COR-010,20,12,4,0,1,11.3,0,0
SIM-0229,COR-005,100,20,2,0,4,15.7,1,1
SIM-0230,COR-005,100,15,4,0,9,35.5,1,2
SIM-0231,COR-007,45,8,7,1,8,37.9,2,0
SIM-0232,COR-003,32,15,5,0,2,11.7,0,2
SIM-0233,COR-010,20,9,5,1,2,8.6,1,2
SIM-0234,COR-001,45,21,4,0,3,13.4,0,2
SIM-0235,COR-002,26,18,2,1,1,5.2,0,3
SIM-0236,COR-010,20,18,7,1,2,8.7,1,2
SIM-0237,COR-005,100,11,6,0,9,49.8,1,2
SIM-0238,COR-009,26,11,4,0,3,15.2,0,1
SIM-0239,COR-010,20,2,6,0,4,21.7,1,2
SIM-0240,COR-010,20,14,3,0,3,15.6,0,1
SIM-0241,COR-008,69,2,6,0,8,33.8,1,0
SIM-0242,COR-007,45,11,7,0,4,19.9,1,0
SIM-0243,COR-007,45,2,3,0,2,11.9,0,2
SIM-0244,COR-007,45,10,1,0,0,0.0,0,2
SIM-0245,COR-003,32,17,6,1,3,20.3,1,1
SIM-0246,COR-009,26,6,6,0,3,18.3,0,2
SIM-0247,COR-002,26,13,6,0,3,5.0,0,1
SIM-0248,COR-005,100,5,7,0,15,47.4,2,1
SIM-0249,COR-004,48,6,3,0,2,4.7,0,2
SIM-0250,COR-008,69,4,7,0,7,19.6,1,1
SIM-0251,COR-003,32,3,2,0,1,4.5,0,3
SIM-0252,COR-003,32,8,5,1,4,21.1,1,2
SIM-0253,COR-009,26,2,7,0,3,14.0,0,2
SIM-0254,COR-005,100,19,7,1,19,120.8,6,2
SIM-0255,COR-008,69,16,5,0,5,17.0,1,2
SIM-0256,COR-009,26,4,4,0,2,8.9,0,3
SIM-0257,COR-009,26,19,4,1,4,13.7,1,1
SIM-0258,COR-004,48,8,7,1,11,35.7,3,3
SIM-0259,COR-002,26,11,7,0,4,19.7,1,0
SIM-0260,COR-010,20,15,2,0,2,3.6,0,2
SIM-0261,COR-004,48,16,1,0,0,1.5,0,2
SIM-0262,COR-008,69,0,6,0,7,31.0,1,0
SIM-0263,COR-008,69,6,6,0,9,37.1,1,2
SIM-0264,COR-005,100,7,1,1,1,5.0,0,0
SIM-0265,COR-002,26,12,4,0,1,4.2,0,2
SIM-0266,COR-005,100,19,4,1,12,77.5,4,2
SIM-0267,COR-002,26,9,1,1,0,4.2,0,2
SIM-0268,COR-004,48,10,5,0,4,18.3,1,2
SIM-0269,COR-004,48,1,7,0,6,22.2,1,1
SIM-0270,COR-006,73,11,2,0,3,15.3,0,2
SIM-0271,COR-002,26,10,6,0,4,13.3,1,0
SIM-0272,COR-009,26,14,1,0,2,8.8,0,3
SIM-0273,COR-001,45,18,2,1,2,15.6,1,0
SIM-0274,COR-010,20,12,4,0,3,16.1,0,0
SIM-0275,COR-004,48,1,7,0,6,17.9,1,2
SIM-0276,COR-005,100,17,7,1,20,112.3,6,0
SIM-0277,COR-009,26,10,7,0,2,4.5,0,3
SIM-0278,COR-007,45,10,7,0,8,39.0,1,0
SIM-0279,COR-001,45,19,6,1,8,43.8,2,2
SIM-0280,COR-007,45,12,3,0,0,3.1,0,3
SIM-0281,COR-006,73,17,1,1,4,15.6,1,2
SIM-0282,COR-010,20,19,6,1,3,17.9,1,2
SIM-0283,COR-006,73,10,2,0,2,8.6,0,2
SIM-0284,COR-010,20,21,4,0,1,0.0,0,2
SIM-0285,COR-006,73,3,6,0,8,26.0,1,0
SIM-0286,COR-002,26,19,1,1,0,2.5,0,1
SIM-0287,COR-006,73,18,7,1,13,101.8,4,0
SIM-0288,COR-010,20,2,3,0,0,0.0,0,0
SIM-0289,COR-001,45,3,2,0,1,4.9,0,0
SIM-0290,COR-004,48,0,3,0,2,9.7,0,2
SIM-0291,COR-001,45,6,4,0,4,24.8,1,3
SIM-0292,COR-009,26,21,4,0,2,3.8,0,2
SIM-0293,COR-006,73,2,2,0,3,9.1,0,0
SIM-0294,COR-008,69,0,2,0,3,12.8,0,2
SIM-0295,COR-010,20,10,4,0,1,1.0,0,2
SIM-0296,COR-009,26,7,2,1,0,0.0,0,3
SIM-0297,COR-005,100,13,5,0,11,38.5,2,1
SIM-0298,COR-010,20,13,7,0,4,19.4,1,1
SIM-0299,COR-005,100,18,1,1,5,28.6,2,2
SIM-0300,COR-010,20,9,1,1,2,14.8,1,2
SIM-0301,COR-010,20,10,5,0,1,1.9,0,0
SIM-0302,COR-003,32,0,1,0,0,0.0,0,2
SIM-0303,COR-008,69,21,5,0,5,23.1,1,3
SIM-0304,COR-007,45,4,4,0,4,14.8,1,0
SIM-0305,COR-008,69,13,4,0,5,14.1,1,1
SIM-0306,COR-002,26,19,5,1,3,12.8,1,2
SIM-0307,COR-006,73,13,7,0,6,31.3,1,3
SIM-0308,COR-002,26,13,1,0,0,1.6,0,3
SIM-0309,COR-009,26,3,1,0,0,3.6,0,2
SIM-0310,COR-009,26,15,5,0,1,2.0,0,2
SIM-0311,COR-006,73,4,1,0,2,14.6,0,1
SIM-0312,COR-002,26,15,4,0,1,0.0,0,1
SIM-0313,COR-007,45,12,4,0,2,11.7,0,2
SIM-0314,COR-005,100,10,3,0,6,17.4,1,2
SIM-0315,COR-008,69,15,4,0,6,15.3,1,2
SIM-0316,COR-001,45,15,1,0,0,0.0,0,3
SIM-0317,COR-005,100,4,2,0,5,18.0,1,0
SIM-0318,COR-004,48,8,1,1,0,4.8,0,3
SIM-0319,COR-010,20,10,7,0,1,1.9,0,2
SIM-0320,COR-003,32,3,6,0,2,10.4,0,2
SIM-0321,COR-010,20,7,2,1,0,2.6,0,2
SIM-0322,COR-010,20,0,1,0,1,4.0,0,2
SIM-0323,COR-006,73,9,2,1,3,25.6,1,2
SIM-0324,COR-002,26,4,7,0,2,8.4,0,1
SIM-0325,COR-003,32,4,6,0,4,21.3,1,2
SIM-0326,COR-001,45,18,5,1,7,40.7,2,1
SIM-0327,COR-008,69,3,7,0,10,37.7,2,2
SIM-0328,COR-008,69,2,2,0,4,16.5,1,2
SIM-0329,COR-004,48,7,4,1,4,24.5,1,1
SIM-0330,COR-008,69,0,6,0,8,27.4,1,3
SIM-0331,COR-006,73,19,1,1,3,14.6,1,1
SIM-0332,COR-009,26,21,4,0,1,5.2,0,2
SIM-0333,COR-001,45,17,3,1,4,20.4,1,1
SIM-0334,COR-002,26,17,2,1,0,1.9,0,0
SIM-0335,COR-009,26,2,2,0,0,5.5,0,2
SIM-0336,COR-004,48,12,7,0,6,23.8,1,3
SIM-0337,COR-010,20,1,4,0,3,19.0,0,1
SIM-0338,COR-009,26,6,1,0,2,13.7,0,0
SIM-0339,COR-001,45,10,5,0,5,32.0,1,0
SIM-0340,COR-005,100,14,5,0,9,27.1,1,1
SIM-0341,COR-008,69,6,3,0,4,11.9,1,3
SIM-0342,COR-002,26,5,3,0,0,2.4,0,2
SIM-0343,COR-009,26,18,4,1,2,14.8,1,0
SIM-0344,COR-001,45,4,7,0,5,23.0,1,3
SIM-0345,COR-002,26,10,6,0,3,9.3,0,0
SIM-0346,COR-006,73,6,3,0,5,21.3,1,2
SIM-0347,COR-003,32,18,2,1,3,23.3,1,3
SIM-0348,COR-007,45,11,1,0,2,4.5,0,3
SIM-0349,COR-004,48,2,2,0,2,10.3,0,2
SIM-0350,COR-003,32,3,1,0,0,2.1,0,1
SIM-0351,COR-009,26,21,6,0,3,9.3,0,3
SIM-0352,COR-002,26,20,5,0,1,5.6,0,1
SIM-0353,COR-005,100,16,1,0,3,5.5,0,1
SIM-0354,COR-002,26,1,7,0,3,10.1,0,2
SIM-0355,COR-002,26,16,2,0,1,7.5,0,2
SIM-0356,COR-003,32,14,5,0,4,11.7,1,0
SIM-0357,COR-003,32,20,1,0,0,0.0,0,3
SIM-0358,COR-005,100,10,5,0,10,54.5,2,3
SIM-0359,COR-005,100,10,4,0,6,24.1,1,1
SIM-0360,COR-002,26,13,7,0,4,13.8,1,0
SIM-0361,COR-001,45,3,5,0,4,10.9,1,0
SIM-0362,COR-001,45,16,4,0,4,16.9,1,1
SIM-0363,COR-007,45,10,4,0,2,7.4,0,0
SIM-0364,COR-010,20,4,5,0,0,1.0,0,3
SIM-0365,COR-001,45,17,3,1,5,35.9,2,3
SIM-0366,COR-001,45,5,5,0,4,12.7,1,3
SIM-0367,COR-008,69,18,4,1,7,44.2,2,1
SIM-0368,COR-008,69,6,7,0,8,22.4,1,2
SIM-0369,COR-008,69,10,2,0,4,23.3,1,1
SIM-0370,COR-002,26,9,6,1,5,31.8,2,1
SIM-0371,COR-009,26,16,6,0,3,13.1,0,2
SIM-0372,COR-007,45,4,6,0,3,12.4,0,0
SIM-0373,COR-002,26,5,7,0,4,18.6,1,3
SIM-0374,COR-002,26,4,4,0,1,0.4,0,0
SIM-0375,COR-007,45,5,4,0,2,9.8,0,1
SIM-0376,COR-008,69,9,2,1,2,11.4,1,0
SIM-0377,COR-008,69,12,3,0,4,19.4,1,2
SIM-0378,COR-006,73,19,2,1,5,24.1,2,2
SIM-0379,COR-006,73,9,6,1,12,48.0,4,3
SIM-0380,COR-007,45,9,6,1,7,51.4,2,1
SIM-0381,COR-002,26,3,2,0,1,8.1,0,0
SIM-0382,COR-004,48,2,6,0,5,22.4,1,0
SIM-0383,COR-001,45,16,3,0,3,13.4,0,2
SIM-0384,COR-009,26,13,6,0,3,13.8,0,3
SIM-0385,COR-007,45,11,7,0,4,13.1,1,0
SIM-0386,COR-008,69,9,6,1,11,58.5,3,3
SIM-0387,COR-005,100,11,2,0,1,1.5,0,1
SIM-0388,COR-010,20,18,2,1,2,15.7,1,3
SIM-0389,COR-010,20,4,1,0,0,0.0,0,0
SIM-0390,COR-007,45,10,6,0,6,34.7,1,3
SIM-0391,COR-009,26,5,4,0,0,1.4,0,1
SIM-0392,COR-007,45,2,2,0,4,10.9,1,1
SIM-0393,COR-008,69,15,5,0,4,18.9,1,0
SIM-0394,COR-003,32,15,4,0,1,0.1,0,0
SIM-0395,COR-010,20,18,5,1,3,13.5,1,3
SIM-0396,COR-002,26,0,5,0,3,7.0,0,0
SIM-0397,COR-007,45,3,2,0,1,0.0,0,1
SIM-0398,COR-007,45,12,3,0,4,14.3,1,3
SIM-0399,COR-001,45,17,6,1,6,41.5,2,1
SIM-0400,COR-008,69,20,7,0,8,39.9,1,3
SIM-0401,COR-001,45,17,2,1,2,11.5,1,2
SIM-0402,COR-006,73,19,4,1,7,36.3,2,3
SIM-0403,COR-009,26,17,7,1,3,12.0,1,3
SIM-0404,COR-002,26,6,5,0,2,6.6,0,0
SIM-0405,COR-004,48,12,2,0,2,5.3,0,1
SIM-0406,COR-006,73,13,5,0,8,34.2,1,1
SIM-0407,COR-010,20,7,1,1,0,0.0,0,0
SIM-0408,COR-004,48,19,4,1,4,31.3,1,0
SIM-0409,COR-002,26,16,4,0,3,13.8,0,0
SIM-0410,COR-002,26,11,1,0,1,0.0,0,3
SIM-0411,COR-002,26,10,2,0,2,6.8,0,3
SIM-0412,COR-009,26,17,7,1,5,26.1,2,2
SIM-0413,COR-008,69,4,5,0,7,24.6,1,3
SIM-0414,COR-005,100,4,4,0,9,25.9,1,1
SIM-0415,COR-009,26,8,2,1,2,15.5,1,1
SIM-0416,COR-010,20,2,1,0,0,7.2,0,3
SIM-0417,COR-009,26,10,3,0,2,8.5,0,0
SIM-0418,COR-001,45,9,4,1,4,9.7,1,0
SIM-0419,COR-001,45,11,2,0,1,2.1,0,2
SIM-0420,COR-008,69,10,6,0,8,35.2,1,1
SIM-0421,COR-004,48,19,4,1,4,29.1,1,2
SIM-0422,COR-002,26,6,1,0,0,0.0,0,2
SIM-0423,COR-007,45,9,1,1,2,9.4,1,1
SIM-0424,COR-004,48,16,7,0,5,18.9,1,0
SIM-0425,COR-010,20,6,3,0,2,7.4,0,0
SIM-0426,COR-006,73,14,3,0,3,14.7,0,1
SIM-0427,COR-003,32,21,2,0,0,0.0,0,1
SIM-0428,COR-010,20,8,6,1,6,41.7,2,0
SIM-0429,COR-007,45,5,6,0,3,19.3,0,2
SIM-0430,COR-003,32,4,2,0,1,7.0,0,3
SIM-0431,COR-002,26,0,6,0,5,17.9,1,3
SIM-0432,COR-006,73,6,4,0,5,23.0,1,0
SIM-0433,COR-008,69,18,2,1,5,30.6,2,0
SIM-0434,COR-009,26,5,6,0,4,16.8,1,1
SIM-0435,COR-002,26,20,1,0,0,4.8,0,3
SIM-0436,COR-005,100,20,7,0,12,68.2,2,2
SIM-0437,COR-010,20,15,1,0,0,0.0,0,1
SIM-0438,COR-007,45,21,3,0,2,3.4,0,3
SIM-0439,COR-001,45,8,2,1,3,15.1,1,2
SIM-0440,COR-010,20,21,2,0,1,2.7,0,3
SIM-0441,COR-007,45,11,4,0,6,26.6,1,3
SIM-0442,COR-005,100,1,6,0,11,51.3,2,3
SIM-0443,COR-008,69,18,3,1,6,38.8,2,2
SIM-0444,COR-007,45,20,4,0,5,21.6,1,1
SIM-0445,COR-003,32,19,7,1,7,21.7,2,0
SIM-0446,COR-008,69,9,4,1,7,37.5,2,2
SIM-0447,COR-003,32,2,6,0,3,8.0,0,1
SIM-0448,COR-003,32,12,3,0,1,0.3,0,0
SIM-0449,COR-006,73,19,1,1,3,20.9,1,3
SIM-0450,COR-001,45,18,2,1,2,10.6,1,1
SIM-0451,COR-007,45,13,2,0,2,13.1,0,2
SIM-0452,COR-006,73,17,7,1,13,87.2,4,3
SIM-0453,COR-008,69,0,1,0,1,0.0,0,1
SIM-0454,COR-002,26,13,6,0,5,23.4,1,3
SIM-0455,COR-006,73,2,1,0,1,0.0,0,2
SIM-0456,COR-005,100,16,2,0,6,15.0,1,2
SIM-0457,COR-002,26,1,4,0,2,13.3,0,1
SIM-0458,COR-005,100,13,1,0,2,10.8,0,3
SIM-0459,COR-010,20,20,1,0,0,0.0,0,0
SIM-0460,COR-009,26,2,6,0,2,6.1,0,2
SIM-0461,COR-002,26,9,1,1,0,0.9,0,3
